date,close,volume
2016-09-13,56.66,133203
2016-09-14,57.02,90881
2016-09-15,57.79,124715
2016-09-16,58.21,175825
2016-09-19,58.4,119746
2016-09-20,58.69,91799
2016-09-21,58.55,106820
2016-09-22,58.83,150495
2016-09-23,58.42,99011
2016-09-26,57.58,106237
2016-09-27,54.78,408367
2016-09-28,54.89,170020
2016-09-29,53.95,179750
2016-09-30,55.94,211414
2016-10-03,55.88,198091
2016-10-04,55.42,125995
2016-10-05,55.33,86819
2016-10-06,55.14,143157
2016-10-07,55.15,205607
2016-10-10,55.71,126454
2016-10-11,54.15,85261
2016-10-12,54.04,76888
2016-10-13,53.44,93133
2016-10-14,52.56,81206
2016-10-17,52.73,97887
2016-10-18,53.41,82703
2016-10-19,53.36,86089
2016-10-20,52.93,71875
2016-10-21,52.1,50312
2016-10-24,52.48,45037
2016-10-25,51.81,72997
2016-10-26,51.19,93148
2016-10-27,51.77,109803
2016-10-28,52.1,122952
2016-10-31,52.69,163556
2016-11-01,52.23,162968
2016-11-02,51.99,114998
2016-11-03,51.26,103267
2016-11-04,52.77,125075
2016-11-07,54.35,97076
2016-11-08,54.84,109785
2016-11-09,57.98,227365
2016-11-10,59.34,252646
2016-11-11,61.42,258224
2016-11-14,61.04,284234
2016-11-15,61.42,116412
2016-11-16,60.42,186178
2016-11-17,60.775,196896
2016-11-18,60.66,215070
2016-11-21,61.92,100834
2016-11-22,62.02,172400
2016-11-23,62.95,143105
2016-11-25,63.03,49361
2016-11-28,62.87,169751
2016-11-29,62.55,66674
2016-11-30,63.28,173033
2016-12-01,63.05,138363
2016-12-02,61.59,131723
2016-12-05,63.66,134241
2016-12-06,64.72,131702
2016-12-07,64.17,124837
2016-12-08,65.96,137989
2016-12-09,67.88,198119
2016-12-12,66.9,110131
2016-12-13,66.64,132194
2016-12-14,65.37,182875
2016-12-15,64.62,200641
2016-12-16,63.4,359338
2016-12-19,63.49,183956
2016-12-20,63.025,191189
2016-12-21,65.9,398189
2016-12-22,65.42,191519
2016-12-23,66.57,160217
2016-12-27,66.92,131838
2016-12-28,66.53,126616
2016-12-29,66.46,78366
2016-12-30,66.0,90485
2017-01-03,65.71,126245
2017-01-04,66.96,185307
2017-01-05,65.65,129717
2017-01-06,65.33,100539
2017-01-09,66.13,238880
2017-01-10,66.65,104778
2017-01-11,65.99,117080
2017-01-12,65.47,64226
2017-01-13,66.3,65643
2017-01-17,65.18,73083
2017-01-18,65.68,55383
2017-01-19,64.415,137310
2017-01-20,63.37,199341
2017-01-23,63.23,105655
2017-01-24,63.78,80366
2017-01-25,64.83,68508
2017-01-26,64.07,45328
2017-01-27,65.04,49997
2017-01-30,64.73,145926
2017-01-31,66.04,95694
2017-02-01,65.32,118915
2017-02-02,64.25,107202
2017-02-03,65.45,75577
2017-02-06,64.41,75809
2017-02-07,63.98,89852
2017-02-08,63.94,103279
2017-02-09,65.15,161992
2017-02-10,65.62,61431
2017-02-13,65.26,59593
2017-02-14,65.24,77258
2017-02-15,65.81,44301
2017-02-16,65.31,70649
2017-02-17,65.93,116089
2017-02-21,66.79,100715
2017-02-22,65.73,67780
2017-02-23,65.77,62606
2017-02-24,65.67,54338
2017-02-27,66.2,103051
2017-02-28,64.86,112723
2017-03-01,66.07,91687
2017-03-02,65.14,85762
2017-03-03,65.35,64033
2017-03-06,64.92,62247
2017-03-07,65.13,68360
2017-03-08,64.73,53238
2017-03-09,63.99,82988
2017-03-10,64.77,72765
2017-03-13,65.73,72072
2017-03-14,64.59,84044
2017-03-15,65.66,101313
2017-03-16,65.7,63355
2017-03-17,68.52,405995
2017-03-20,68.56,152994
2017-03-21,65.62,299091
2017-03-22,64.54,178931
2017-03-23,64.25,150468
2017-03-24,63.95,143153
2017-03-27,65.01,99915
2017-03-28,65.02,126943
2017-03-29,64.46,71785
2017-03-30,64.83,94338
2017-03-31,65.55,138797
2017-04-03,62.89,152134
2017-04-04,62.56,148235
2017-04-05,61.83,115998
2017-04-06,61.63,139411
2017-04-07,61.94,149903
2017-04-10,60.99,97514
2017-04-11,61.16,154934
2017-04-12,60.64,69100
2017-04-13,59.66,121356
2017-04-17,60.01,175284
2017-04-18,60.46,102875
2017-04-19,61.28,149751
2017-04-20,61.85,112018
2017-04-21,61.4,98090
2017-04-24,62.62,106765
2017-04-25,62.94,114795
2017-04-26,63.62,195590
2017-04-27,63.69,148593
2017-04-28,62.33,100588
2017-05-01,62.32,173140
2017-05-02,61.82,118016
2017-05-03,62.24,120576
2017-05-04,62.77,73537
2017-05-05,62.69,72901
2017-05-08,62.57,62906
2017-05-09,62.74,63119
2017-05-10,62.61,66650
2017-05-11,61.85,82803
2017-05-12,60.8,115411
2017-05-15,62.3,84643
2017-05-16,62.78,72180
2017-05-17,61.495,149037
2017-05-18,61.3,127647
2017-05-19,61.08,248404
2017-05-22,61.82,84461
2017-05-23,61.84,72289
2017-05-24,62.02,67433
2017-05-25,62.425,54749
2017-05-26,62.99,60710
2017-05-30,62.93,37714
2017-05-31,63.29,62718
2017-06-01,64.51,98744
2017-06-02,65.83,105730
2017-06-05,64.39,56607
2017-06-06,64.64,76237
2017-06-07,64.88,55264
2017-06-08,65.75,81355
2017-06-09,67.59,156628
2017-06-12,66.82,82675
2017-06-13,67.86,88325
2017-06-14,67.7,76696
2017-06-15,67.9,56820
2017-06-16,68.13,183167
2017-06-19,68.38,78647
2017-06-20,67.64,42432
2017-06-21,67.89,65609
2017-06-22,68.01,41429
2017-06-23,68.2,63411
2017-06-26,68.46,79731
2017-06-27,68.21,78777
2017-06-28,68.98,113760
2017-06-29,68.71,91323
2017-06-30,69.11,122545
2017-07-03,69.69,61879
2017-07-05,68.31,73860
2017-07-06,67.21,74062
2017-07-07,68.35,58584
2017-07-10,67.34,49860
2017-07-11,68.0,90251
2017-07-12,67.8,57465
2017-07-13,68.05,124649
2017-07-14,68.25,115378
2017-07-17,68.39,137984
2017-07-18,64.6,415973
2017-07-19,66.89,105789
2017-07-20,67.53,107109
2017-07-21,67.15,111174
2017-07-24,65.07,177379
2017-07-25,65.54,169871
2017-07-26,64.9,159157
2017-07-27,64.39,109129
2017-07-28,65.05,143380
2017-07-31,65.87,141608
2017-08-01,65.87,108140
2017-08-02,65.48,82367
2017-08-03,66.46,120350
2017-08-04,66.8,111706
2017-08-07,67.72,99388
2017-08-08,67.82,130945
2017-08-09,67.77,104428
2017-08-10,67.33,165167
2017-08-11,66.95,124758
2017-08-14,67.45,73766
2017-08-15,65.78,97917
2017-08-16,65.82,103515
2017-08-17,65.28,67638
2017-08-18,65.2,81955
2017-08-21,65.28,108973
2017-08-22,65.96,49463
2017-08-23,65.27,65704
2017-08-24,65.92,69986
2017-08-25,66.67,97793
2017-08-28,67.4,103006
2017-08-29,67.52,91606
2017-08-30,68.24,60105
2017-08-31,68.9,78861
2017-09-01,69.58,65313
2017-09-05,69.63,94314
2017-09-06,69.51,57673
2017-09-07,69.11,86898
2017-09-08,69.71,98202
2017-09-11,70.29,75180
2017-09-12,70.88,73791
2017-09-13,71.5,140036
2017-09-14,71.41,129449
2017-09-15,73.07,245368
2017-09-18,74.07,214407
2017-09-19,71.63,187699
2017-09-20,70.77,193849
2017-09-21,71.69,122268
2017-09-22,72.93,164642
2017-09-25,73.97,146391
2017-09-26,74.8,166965
2017-09-27,77.23,164251
2017-09-28,77.1,135724
2017-09-29,77.46,142954
2017-10-02,79.26,157846
2017-10-03,79.08,207393
2017-10-04,78.37,163275
2017-10-05,78.74,208663
2017-10-06,78.76,191396
2017-10-09,78.33,193809
2017-10-10,78.47,163324
2017-10-11,78.32,106395
2017-10-12,78.18,116288
2017-10-13,76.91,163824
2017-10-16,77.41,86929
2017-10-17,76.87,90134
2017-10-18,78.8,98967
2017-10-19,78.78,117433
2017-10-20,80.16,167356
2017-10-23,80.4,135578
2017-10-24,80.14,119585
2017-10-25,80.46,63968
2017-10-26,80.31,78384
2017-10-27,80.57,116153
2017-10-30,79.28,87774
2017-10-31,80.2,129102
2017-11-01,80.13,111722
2017-11-02,80.66,64875
2017-11-03,81.76,78744
2017-11-06,81.16,83733
2017-11-07,80.64,98093
2017-11-08,81.88,100330
2017-11-09,82.32,113130
2017-11-10,82.03,81688
2017-11-13,81.45,114504
2017-11-14,81.14,76917
2017-11-15,79.82,78705
2017-11-16,80.99,88434
2017-11-17,80.38,84939
2017-11-20,81.71,74499
2017-11-21,84.31,138682
2017-11-22,82.65,61870
2017-11-24,83.27,42765
2017-11-27,82.63,57314
2017-11-28,83.25,82954
2017-11-29,84.03,73038
2017-11-30,83.9,98730
2017-12-01,83.79,108912
2017-12-04,83.46,117417
2017-12-05,81.59,91154
2017-12-06,82.12,104320
2017-12-07,82.73,107934
2017-12-08,81.08,176677
2017-12-11,79.16,100816
2017-12-12,79.91,87695
2017-12-13,80.54,70850
2017-12-14,79.62,61919
2017-12-15,81.42,210216
2017-12-18,81.44,70933
2017-12-19,79.93,84241
2017-12-20,81.74,133733
2017-12-21,82.29,98093
2017-12-22,82.5,121777
2017-12-26,82.89,126625
2017-12-27,81.9,69649
2017-12-28,82.84,151559
2017-12-29,82.21,182032
2018-01-02,60.16,288157
2018-01-03,59.08,402457
2018-01-04,59.65,257492
2018-01-05,59.64,265625
2018-01-08,59.72,99191
2018-01-09,59.42,140407
2018-01-10,58.27,115409
2018-01-11,59.2,161768
2018-01-12,59.12,155943
2018-01-16,58.92,98264
2018-01-17,58.73,135313
2018-01-18,58.06,76299
2018-01-19,58.91,128919
2018-01-22,58.94,103478
2018-01-23,59.01,74331
2018-01-24,59.31,150969
2018-01-25,59.95,243562
2018-01-26,60.24,81365
2018-01-29,60.2,135251
2018-01-30,59.56,109489
2018-01-31,59.03,165763
2018-02-01,59.18,115595
2018-02-02,59.1,158834
2018-02-05,57.1,143952
2018-02-06,56.44,211354
2018-02-07,55.95,116997
2018-02-08,54.64,99846
2018-02-09,56.08,165172
2018-02-12,55.87,148251
2018-02-13,56.61,157995
2018-02-14,57.52,192390
2018-02-15,59.72,431873
2018-02-16,59.79,189194
2018-02-20,58.95,202195
2018-02-21,60.11,200089
2018-02-22,59.49,117732
2018-02-23,60.11,131311
2018-02-26,60.01,187903
2018-02-27,59.4,93830
2018-02-28,58.27,170921
2018-03-01,58.78,192236
2018-03-02,59.88,123005
2018-03-05,60.45,153573
2018-03-06,61.62,151577
2018-03-07,61.73,201122
2018-03-08,60.98,154426
2018-03-09,61.72,194306
2018-03-12,63.28,197589
2018-03-13,63.66,147170
2018-03-14,63.82,169928
2018-03-15,63.81,111593
2018-03-16,64.31,516944
2018-03-19,63.31,183447
2018-03-20,63.74,162920
2018-03-21,64.92,241377
2018-03-22,62.53,260313
2018-03-23,62.19,223005
2018-03-26,66.15,277614
2018-03-27,65.6,471212
2018-03-28,66.64,333626
2018-03-29,66.99,265572
2018-04-02,65.53,221022
2018-04-03,66.88,238946
2018-04-04,67.27,141568
2018-04-05,68.35,228601
2018-04-06,67.3,208498
2018-04-09,67.34,147475
2018-04-10,67.76,170083
2018-04-11,68.06,174750
2018-04-12,68.55,165801
2018-04-13,68.65,119763
2018-04-16,68.96,289333
2018-04-17,69.5,137215
2018-04-18,69.64,189264
2018-04-19,69.89,117344
2018-04-20,69.88,109197
2018-04-23,69.85,156854
2018-04-24,68.6,177372
2018-04-25,68.48,113732
2018-04-26,68.19,140570
2018-04-27,68.36,160762
2018-04-30,68.15,112586
2018-05-01,68.41,176147
2018-05-02,69.22,104795
2018-05-03,69.82,120317
2018-05-04,71.3,138676
2018-05-07,71.71,152930
2018-05-08,71.83,123296
2018-05-09,71.44,151652
2018-05-10,71.99,210649
2018-05-11,72.96,160668
2018-05-14,72.95,267596
2018-05-15,72.94,180264
2018-05-16,73.87,303091
2018-05-17,74.71,189913
2018-05-18,74.7,222423
2018-05-21,75.21,209099
2018-05-22,74.38,175865
2018-05-23,73.97,175120
2018-05-24,73.5,175231
2018-05-25,73.36,132346
2018-05-29,73.89,318836
2018-05-30,76.13,341909
2018-05-31,75.71,211196
2018-06-01,75.64,421098
2018-06-04,77.67,274192
2018-06-05,77.59,274596
2018-06-06,77.49,194524
2018-06-07,77.04,173653
2018-06-08,77.87,209916
2018-06-11,78.38,155422
2018-06-12,78.97,227101
2018-06-13,79.07,192617
2018-06-14,80.61,196926
2018-06-15,81.88,419328
2018-06-18,81.93,216053
2018-06-19,81.63,178867
2018-06-20,83.62,229412
2018-06-21,83.69,188612
2018-06-22,83.6,325731
2018-06-25,81.17,187597
2018-06-26,81.92,130475
2018-06-27,80.36,179860
2018-06-28,80.53,241366
2018-06-29,80.19,166975
2018-07-02,81.74,157578
2018-07-03,81.73,109316
2018-07-05,82.22,194751
2018-07-06,83.75,148405
2018-07-09,84.18,153808
2018-07-10,83.55,130005
2018-07-11,82.66,119036
2018-07-12,83.62,137675
2018-07-13,82.01,208265
2018-07-16,80.71,264237
2018-07-17,84.0,465302
2018-07-18,81.89,344300
2018-07-19,81.79,229309
2018-07-20,82.11,206499
2018-07-23,82.35,154688
2018-07-24,80.79,229151
2018-07-25,82.02,135595
2018-07-26,82.8,164621
2018-07-27,81.02,132852
2018-07-30,80.02,165247
2018-07-31,82.4,225228
2018-08-01,83.08,131155
2018-08-02,82.78,162845
2018-08-03,81.51,155986
2018-08-06,83.0,119424
2018-08-07,83.52,156758
2018-08-08,83.59,128831
2018-08-09,83.78,110877
2018-08-10,83.6,183011
2018-08-13,83.4,127451
2018-08-14,84.74,104914
2018-08-15,83.08,132824
2018-08-16,83.89,135641
2018-08-17,84.12,172184
2018-08-20,85.19,210545
2018-08-21,86.48,211679
2018-08-22,87.28,147301
2018-08-23,87.54,184046
2018-08-24,88.78,126873
2018-08-27,88.95,184511
2018-08-28,87.9,134841
2018-08-29,89.5,195095
2018-08-30,90.81,194271
2018-08-31,93.44,283614
2018-09-04,90.89,205454
2018-09-05,90.7,151978
2018-09-06,91.55,107152
2018-09-07,92.83,144830
2018-09-10,92.42,124899
2018-09-11,94.49,116920
2018-09-12,94.13,120231
2018-09-13,93.89,126343
2018-09-14,96.5,237687
2018-09-17,93.25,200111
2018-09-18,93.24,184582
2018-09-19,91.22,249042
2018-09-20,90.43,260021
2018-09-21,89.4,580032
2018-09-24,88.68,581702
2018-09-25,74.69,1228554
2018-09-26,72.91,818868
2018-09-27,70.5,624788
2018-09-28,71.53,836041
2018-10-01,70.16,551682
2018-10-02,69.34,377874
2018-10-03,70.24,368732
2018-10-04,67.72,420289
2018-10-05,66.9,320215
2018-10-08,65.66,293374
2018-10-09,64.69,408400
2018-10-10,64.79,494207
2018-10-11,65.13,518094
2018-10-12,64.92,336149
