date,close,volume
2014-05-06,30.89,6532400
2014-05-07,30.65,6810600
2014-05-08,30.48,2687200
2014-05-09,30.54,3339700
2014-05-12,30.81,1971000
2014-05-13,30.73,1932200
2014-05-14,30.64,2253600
2014-05-15,30.46,3104500
2014-05-16,30.6,3058700
2014-05-19,30.46,3671100
2014-05-20,30.28,2538700
2014-05-21,30.42,2421900
2014-05-22,30.33,4522700
2014-05-23,30.53,4085500
2014-05-27,30.7,2395700
2014-05-28,30.48,5791000
2014-05-29,30.72,2610800
2014-05-30,30.7,3076700
2014-06-02,30.92,3561300
2014-06-03,31.25,3323000
2014-06-04,31.37,3349900
2014-06-05,31.61,2784700
2014-06-06,31.74,2524200
2014-06-09,32.01,3189400
2014-06-10,32.5,4639800
2014-06-11,32.13,3600700
2014-06-12,31.99,4298500
2014-06-13,32.12,1904500
2014-06-16,32.13,2197200
2014-06-17,32.81,4407200
2014-06-18,32.89,2482800
2014-06-19,32.55,4062900
2014-06-20,32.46,7836200
2014-06-23,32.64,2513600
2014-06-24,32.37,1772500
2014-06-25,32.37,2751400
2014-06-26,32.24,2240100
2014-06-27,32.38,1435000
2014-06-30,32.27,1847300
2014-07-01,32.51,2263500
2014-07-02,32.74,1850700
2014-07-03,32.91,1370200
2014-07-07,32.56,2087600
2014-07-08,32.48,1846200
2014-07-09,32.46,1339900
2014-07-10,32.52,2003800
2014-07-11,32.37,1422900
2014-07-14,32.73,1900200
2014-07-15,32.39,2496200
2014-07-16,32.63,1768100
2014-07-17,32.69,2154100
2014-07-18,32.69,3261000
2014-07-21,32.85,2513300
2014-07-22,32.87,2590600
2014-07-23,32.84,2078600
2014-07-24,32.89,2007900
2014-07-25,32.82,1579600
2014-07-28,32.86,1627800
2014-07-29,33.03,2994400
2014-07-30,33.14,1800600
2014-07-31,32.91,3002700
2014-08-01,32.74,5381100
2014-08-04,33.24,4676100
2014-08-05,32.21,5933100
2014-08-06,32.3,3163800
2014-08-07,31.79,3747800
2014-08-08,32.32,2191500
2014-08-11,32.6,2282500
2014-08-12,32.45,2837900
2014-08-13,32.87,3729200
2014-08-14,33.07,2562500
2014-08-15,33.69,3843000
2014-08-18,33.93,3459500
2014-08-19,34.52,2922500
2014-08-20,34.79,2720500
2014-08-21,34.89,2041800
2014-08-22,34.89,2300500
2014-08-25,34.9,2417200
2014-08-26,35.13,2956600
2014-08-27,35.34,2746100
2014-08-28,35.33,3760400
2014-08-29,35.44,1190900
2014-09-02,35.48,1654000
2014-09-03,35.76,4220600
2014-09-04,35.51,2383100
2014-09-05,36.04,1602900
2014-09-08,36.28,1913500
2014-09-09,36.18,2832500
2014-09-10,36.24,2287400
2014-09-11,36.27,1768900
2014-09-12,36.18,1920000
2014-09-15,36.27,2164600
2014-09-16,36.49,2253000
2014-09-17,36.65,2525600
2014-09-18,36.7,2336300
2014-09-19,37.2,6105100
2014-09-22,36.62,4949183
2014-09-23,35.88,4421743
2014-09-24,36.58,4713755
2014-09-25,36.3,2055400
2014-09-26,36.63,2124766
2014-09-29,36.79,2075649
2014-09-30,36.95,3412903
2014-10-01,36.45,5508285
2014-10-02,36.91,3670179
2014-10-03,37.67,5948543
2014-10-06,37.66,2693668
2014-10-07,36.71,8116899
2014-10-08,37.55,3565702
2014-10-09,37.02,4336710
2014-10-10,36.68,3689339
2014-10-13,35.57,6677195
2014-10-14,35.87,3078656
2014-10-15,35.26,7155794
2014-10-16,35.07,4181274
2014-10-17,35.37,3438534
2014-10-20,35.41,2543817
2014-10-21,36.09,4772831
2014-10-22,35.89,2263456
2014-10-23,36.11,2925838
2014-10-24,36.58,1419018
2014-10-27,36.57,2511405
2014-10-28,37.01,1533402
2014-10-29,36.62,2271776
2014-10-30,37.32,2137501
2014-10-31,37.088,2589530
2014-11-03,37.72,4071275
2014-11-04,39.12,9723740
2014-11-05,39.27,11878891
2014-11-06,39.71,4457084
2014-11-07,40.23,6818977
2014-11-10,40.16,7530110
2014-11-11,43.72,20246313
2014-11-12,42.64,21414708
2014-11-13,43.24,6151288
2014-11-14,43.14,2689390
2014-11-17,44.23,9536574
2014-11-18,44.19,12181375
2014-11-19,43.4,7031136
2014-11-20,43.15,5091131
2014-11-21,43.87,5187503
2014-11-24,44.58,4178857
2014-11-25,43.91,3589015
2014-11-26,44.67,2131385
2014-11-28,44.93,1332156
2014-12-01,44.37,3153115
2014-12-02,44.74,2500597
2014-12-03,44.88,2008310
2014-12-04,44.0,4294633
2014-12-05,43.98,3313964
2014-12-08,44.1,5889345
2014-12-09,43.82,5514998
2014-12-10,42.77,4397200
2014-12-11,42.88,4942195
2014-12-12,41.77,4050331
2014-12-15,41.74,5947406
2014-12-16,40.85,4606499
2014-12-17,41.13,7628313
2014-12-18,43.15,6578062
2014-12-19,43.51,5601641
2014-12-22,43.41,1921541
2014-12-23,42.97,2612498
2014-12-24,43.84,1300640
2014-12-26,44.2,1518039
2014-12-29,44.01,2007239
2014-12-30,43.35,2251147
2014-12-31,43.03,2148909
2015-01-02,43.31,1784751
2015-01-05,43.05,3116681
2015-01-06,42.63,3987015
2015-01-07,43.51,2481935
2015-01-08,44.18,3121258
2015-01-09,44.25,2988219
2015-01-12,43.42,2168274
2015-01-13,42.81,3668576
2015-01-14,43.03,2481287
2015-01-15,42.94,2719250
2015-01-16,44.22,2761564
2015-01-20,43.56,3471042
2015-01-21,44.25,1991904
2015-01-22,44.51,2914674
2015-01-23,44.12,2885511
2015-01-26,44.09,1926811
2015-01-27,43.3,3008263
2015-01-28,43.11,2425148
2015-01-29,43.32,4927327
2015-01-30,42.73,3146933
2015-02-02,43.38,2136733
2015-02-03,43.5,4910840
2015-02-04,43.46,5102908
2015-02-05,43.4,3470904
2015-02-06,43.66,5408025
2015-02-09,42.87,4467136
2015-02-10,43.91,4112336
2015-02-11,45.77,7070878
2015-02-12,45.79,6989570
2015-02-13,45.46,6413282
2015-02-17,46.2,4055844
2015-02-18,45.85,3276876
2015-02-19,45.65,2928791
2015-02-20,45.6,3713002
2015-02-23,45.58,2664458
2015-02-24,45.4,1869770
2015-02-25,45.72,2958773
2015-02-26,46.62,4902993
2015-02-27,46.09,5555462
2015-03-02,47.31,5261715
2015-03-03,46.54,2256026
2015-03-04,46.23,3293014
2015-03-05,46.46,2327567
2015-03-06,45.78,3486498
2015-03-09,46.29,3758563
2015-03-10,45.7,2189462
2015-03-11,46.01,3245036
2015-03-12,46.84,2276543
2015-03-13,46.45,2487056
2015-03-16,46.98,2519822
2015-03-17,47.15,2906852
2015-03-18,47.51,3055759
2015-03-19,47.41,2000710
2015-03-20,47.34,4542700
2015-03-23,47.15,4820293
2015-03-24,47.02,1938127
2015-03-25,46.27,4148401
2015-03-26,46.11,3550763
2015-03-27,46.22,2801671
2015-03-30,46.92,2207792
2015-03-31,46.29,2768436
2015-04-01,46.27,4752533
2015-04-02,46.5,3083956
2015-04-06,46.33,2385312
2015-04-07,46.36,2367075
2015-04-08,46.21,2565899
2015-04-09,46.55,2721160
2015-04-10,47.17,2278282
2015-04-13,46.66,2009281
2015-04-14,46.9,2672548
2015-04-15,47.0,1578545
2015-04-16,47.14,1586498
2015-04-17,46.77,2885118
2015-04-20,47.04,2890179
2015-04-21,47.54,3139377
2015-04-22,47.03,2075661
2015-04-23,47.05,2113277
2015-04-24,47.91,3449546
2015-04-27,46.83,2684146
2015-04-28,45.73,4492421
2015-04-29,45.22,3997612
2015-04-30,44.42,4330171
2015-05-01,44.61,5835126
2015-05-04,45.4,4782567
2015-05-05,45.68,7681079
2015-05-06,45.29,4441355
2015-05-07,45.56,2426957
2015-05-08,45.9,2548154
2015-05-11,46.09,3405113
2015-05-12,45.58,2230384
2015-05-13,45.62,2160588
2015-05-14,46.28,1959621
2015-05-15,46.49,2831450
2015-05-18,46.73,2890623
2015-05-19,47.45,3845744
2015-05-20,47.28,2206640
2015-05-21,47.8,3599250
2015-05-22,47.63,1832276
2015-05-26,47.95,3999519
2015-05-27,49.45,5447746
2015-05-28,49.11,4933974
2015-05-29,49.77,5617083
2015-06-01,49.78,4496147
2015-06-02,49.58,2680479
2015-06-03,49.55,1976555
2015-06-04,48.9,2080683
2015-06-05,49.01,2411992
2015-06-08,48.8,1906372
2015-06-09,49.24,2675509
2015-06-10,49.69,2012119
2015-06-11,49.87,2055692
2015-06-12,49.08,2033278
2015-06-15,49.27,3014964
2015-06-16,49.71,1817939
2015-06-17,50.17,2804407
2015-06-18,50.5,3696096
2015-06-19,50.24,2885702
2015-06-22,50.22,2040319
2015-06-23,50.47,2104111
2015-06-24,49.71,2561857
2015-06-25,55.38,3211001
2015-06-26,48.62,20823273
2015-06-29,47.07,5148068
2015-06-30,48.22,4372753
2015-07-01,48.43,5532098
2015-07-02,48.31,2070875
2015-07-06,48.4,3088073
2015-07-07,47.88,5656174
2015-07-08,46.48,3452761
2015-07-09,46.57,3417433
2015-07-10,46.96,2917524
2015-07-13,47.04,3050077
2015-07-14,47.46,5491541
2015-07-15,47.11,2099419
2015-07-16,48.0,3423487
2015-07-17,47.8,2324025
2015-07-20,48.98,3364218
2015-07-21,49.12,4412671
2015-07-22,50.02,2937633
2015-07-23,49.85,2457852
2015-07-24,49.49,2081039
2015-07-27,49.48,1683893
2015-07-28,48.85,4846275
2015-07-29,48.4,3629936
2015-07-30,48.55,1576778
2015-07-31,48.98,2539760
2015-08-03,48.48,3559249
2015-08-04,48.85,4867278
2015-08-05,48.61,4087350
2015-08-06,48.28,3217354
2015-08-07,48.31,3465953
2015-08-10,48.39,3064542
2015-08-11,48.21,1946691
2015-08-12,47.86,3574600
2015-08-13,47.66,2550825
2015-08-14,47.47,2594522
2015-08-17,48.69,1849735
2015-08-18,47.73,2848398
2015-08-19,47.91,2153534
2015-08-20,46.38,2516558
2015-08-21,45.02,3775138
2015-08-24,43.53,5725519
2015-08-25,42.56,3814312
2015-08-26,44.25,5873296
2015-08-27,45.86,4602075
2015-08-28,45.78,2711444
2015-08-31,44.87,2580029
2015-09-01,43.98,4346069
2015-09-02,45.12,2699665
