rebalance_date,leg,spread_bps,borrow_bps,avg_dvol,illiq
2015-01-01,short,26.409384107789464,62.01759520210527,11421148.03316667,1.1883160113107658e-09
2015-01-01,short,37.42968451621053,82.68065846789474,10153526.368666667,1.178325206453795e-09
2015-01-01,short,40.06519874021053,87.62224763789477,7091570.791083332,1.160895198548664e-09
2015-01-01,short,26.532225066947362,62.24792200052632,11315013.372499999,1.104188846743993e-09
2015-01-01,short,22.434047545263155,54.56383914736842,10250445.576416668,1.097077751476231e-09
2015-01-01,short,61.67257095368421,128.1360705381579,22552331.63516666,1.0706617000365358e-09
2015-01-01,short,57.0944812631579,119.55215236842106,22853204.791999996,1.0676482759082826e-09
2015-01-01,short,22.814559578947364,55.27729921052634,16796187.795666665,1.0469372317770255e-09
2015-01-01,short,30.71009635957894,70.08143067421052,12125492.133166667,1.0462954614796158e-09
2015-01-01,short,45.12359777010527,97.10674581894737,15681915.990833335,1.0362724905297888e-09
2015-01-01,short,44.86534855578946,96.62252854210524,20598533.19525,1.0114507493871548e-09
2015-01-01,short,40.85166484042105,89.09687157578948,16230776.413666667,9.851707352417471e-10
2015-01-01,short,61.110824816842104,127.08279653157895,23931526.304,9.83902936891614e-10
2015-01-01,short,23.39205566400001,56.360104370000045,16827108.509666666,9.622666039950445e-10
2015-01-01,short,46.50311080421052,99.69333275789474,11970850.186999999,9.474355820857077e-10
2015-01-01,short,58.72883473684212,122.61656513157895,16449308.632416666,9.318487783410415e-10
2015-01-01,short,43.85424195031579,94.72670365684213,16715127.150833333,9.209609831116886e-10
2015-01-01,short,35.485304115789475,79.03494521710527,49124556.31933333,8.903949709949002e-10
2015-01-01,short,29.237305263157893,67.31994736842107,17536428.239,8.709134485432804e-10
2015-01-01,short,31.605310603789462,71.75995738210527,21908285.88416667,8.591516698031504e-10
2015-01-01,short,34.99650773894737,78.11845201052633,10995596.600666663,8.547200928283027e-10
2015-01-01,short,64.96943582652631,134.31769217473683,42389734.84633333,8.528895634027443e-10
2015-01-01,short,73.15836610736842,149.67193645131582,45601878.90600001,8.447612203887119e-10
2015-01-01,short,47.408746105263155,101.39139894736842,17517769.815249998,8.317204067769091e-10
2015-01-01,short,72.29492884421052,148.05299158289472,21182293.389083333,8.314853280778913e-10
2015-01-01,short,26.295990315789467,61.80498184210526,35383432.05416666,8.152902440417117e-10
2015-01-01,short,60.57988140926316,126.08727764236843,11203474.834166666,7.94060335533253e-10
2015-01-01,short,50.77733473684211,107.70750263157896,15677945.287999999,7.658391014894788e-10
2015-01-01,short,42.304517052631574,91.8209694736842,59351535.526499994,7.284053973802317e-10
2015-01-01,short,58.165087801263155,121.55953962736842,96500519.40733333,7.005417516995863e-10
2015-01-01,short,41.85294976,90.97428080000003,24573640.09733333,6.409004649495886e-10
2015-01-01,short,53.05212631578947,111.97273684210528,21976486.350416664,6.135451144665916e-10
2015-01-01,short,50.586509496,107.349705305,16333493.868499998,6.016172370013177e-10
2015-01-01,short,31.20804179536843,71.01507836631582,22346113.283333335,5.90391155340117e-10
2015-01-01,short,46.6228,99.91775000000001,28803635.241833333,5.472555151329508e-10
2015-01-01,short,43.562034947368424,94.1788155263158,21046105.76125,4.878476366258651e-10
2015-01-01,short,25.46429245642105,60.245548355789495,21757974.02466667,4.798810039409424e-10
2015-01-01,short,24.411025338947383,58.27067251052635,23747758.154999997,4.791222863662086e-10
2015-01-01,short,42.72408757894737,92.60766421052632,34663653.58966667,4.204314875548913e-10
2015-01-01,short,21.48354226189474,52.78164174105263,22145386.80866667,4.020642441645654e-10
2015-01-01,short,39.46234600421053,86.49189875789476,94207441.76266666,2.979681453281438e-10
2015-01-01,short,45.65770614231578,98.10819901684211,74133836.72883333,2.2303472992586974e-10
2015-01-01,short,43.130570021052634,93.3698187894737,163768064.83700004,6.520996359063473e-11
2015-01-01,short,97.52018947368421,195.3503552631579,498190263.3223333,1.7912412270324943e-11
2015-04-01,long,77.95678022063157,158.6689629136842,1715279.4504975614,5.633590250613656e-08
2015-04-01,long,93.02053010526318,186.91349394736844,1557028.7213333335,3.493661097923021e-08
2015-04-01,long,98.77673377347368,197.70637582526317,1093247.2810000002,2.9875998087601664e-08
2015-04-01,long,86.07908173473685,173.8982782526316,1072150.7845,2.7011285059565628e-08
2015-04-01,long,93.70719050778948,188.20098220210528,1142579.9035833334,2.609494126286482e-08
2015-04-01,long,99.341546976,198.76540057999998,1611771.1739999996,2.5018123333354765e-08
2015-04-01,long,95.06212631578947,190.74148684210527,2119070.5540833334,2.481793082566222e-08
2015-04-01,long,87.97209107031578,177.44767075684211,1134128.6463333333,2.437742226060489e-08
2015-04-01,long,87.17988336842106,175.96228131578948,1330354.746833333,2.3394905134370443e-08
2015-04-01,long,96.05369961094736,192.60068677052632,1375757.3713333337,2.3320538815848628e-08
2015-04-01,long,84.75176247747368,171.40955464526317,1186297.0308333333,2.2009044222428125e-08
2015-04-01,long,96.53656365136843,193.5060568463158,3493398.769173333,2.166577862022073e-08
2015-04-01,long,91.74647957894737,184.52464921052632,2119683.234473333,2.1651660876837378e-08
2015-04-01,long,86.03248975157895,173.81091828421054,1577553.311,2.0415683894462422e-08
2015-04-01,long,92.85077625010527,186.59520546894737,1152578.7804999999,1.9494125046271546e-08
2015-04-01,long,94.50405834568421,189.69510939815788,1572212.2043333335,1.9106722884587755e-08
