rebalance_date,hold_end,year,n_universe_base,n_universe_russell,n_russell_excluded,pct_dropped,long_ret,short_ret,ls_ret_base,ls_gross_base,ls_cost_base,ls_ret_vm,ls_gross_vm,ls_cost_vm,trailing_vol,vol_scale,vol_scale_active,long_scale_bn,short_scale_bn,final_long_scale,final_short_scale,mean_beta_long,mean_beta_short,long_turnover,short_turnover,avg_turnover,mkt_ret,ic,n_long,n_short
2018-07-01,2018-10-01,2018,442,441,152,27.664399092970523,0.08822976933354622,0.032219024317184,0.12260706291561768,0.13178168420945635,0.009174621293838683,0.0992235740382864,0.10664842129891254,0.007424847260626146,0.12356646503008302,0.8092810616185742,True,1.0385331290318844,0.9614668709681157,0.840465193188983,0.7780969300481653,0.9735860880413383,1.051623760449894,0.203125,0.21875,0.2109375,0.0213810673508728,0.14264470177336944,64,64
2018-10-01,2019-01-01,2018,426,421,152,26.840855106888363,-0.18777222490521767,0.28843889196636124,0.07800755455980607,0.0864630579111837,0.008455503351377623,0.054714856131769934,0.0606455849182701,0.005930728786500179,0.14257106766750932,0.7014045811399161,True,1.0475820737873451,0.9524179262126549,0.7347788656744975,0.6680302966053348,0.9094017924919977,1.000267833547669,0.20967741935483872,0.16129032258064516,0.18548387096774194,-0.2214645092697976,0.1943634977868468,62,62
2019-01-01,2019-04-01,2019,455,451,152,24.6119733924612,0.12679078619468942,-0.13450386607306566,-0.012471981275366126,-0.0036895249365355154,0.008782456338830609,-0.007474471013439746,-0.002211136032249067,0.0052633349811906805,0.16686105615956498,0.5993010130798438,True,0.9817872223725678,1.0182127776274323,0.5883860769967258,0.610215949162962,0.9622433010190325,0.9278199984441389,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.1571398066923737,-0.07069189515876367,68,68
2019-04-01,2019-07-01,2019,440,435,152,23.67816091954023,-0.08123298666316632,0.051373502616962774,-0.03726217991041295,-0.029074043458838905,0.008188136451574046,-0.024922360094691932,-0.019445823680525394,0.00547653641416654,0.14951304679346641,0.668837951902201,True,1.0558245369770052,0.9441754630229948,0.7061755208797897,0.6315003829246122,0.9555603771958309,1.0685557211750898,0.13432835820895522,0.19402985074626866,0.16417910447761194,-0.013523959750460486,0.06143591770822329,67,67
2019-07-01,2019-10-01,2019,448,447,138,25.05592841163311,-0.05119658881882651,0.0789937737233296,0.020142272154370387,0.02928838649170768,0.00914611433733729,0.017290576115725598,0.025141804859973624,0.007851228744248035,0.11649277629362048,0.8584223261015741,True,1.0587978449453508,0.9412021550546492,0.9088957089293218,0.8079489432738264,0.9304562735123397,1.04670935135454,0.208955223880597,0.16417910447761194,0.18656716417910446,-0.06907498212372055,0.07106949284844376,67,67
2019-10-01,2020-01-01,2019,445,444,138,25.675675675675677,0.13084268672765592,-0.18226279354895372,-0.04148700482494258,-0.03281279800900988,0.008674206815932704,-0.03678164605585925,-0.029091247429464784,0.007690398626394457,0.11279268133334062,0.8865823457504844,True,1.0317244590787102,0.9682755409212898,0.9147086910981527,0.8584560004028162,0.9343209967026731,0.9955449499548046,0.19696969696969696,0.13636363636363635,0.16666666666666666,0.1496152400038743,-0.042040292718298136,66,66
2020-01-01,2020-04-01,2020,418,416,138,24.03846153846154,-0.40581130182802794,0.3904702036282117,-0.10802031652850747,-0.100542105158892,0.007478211369615459,-0.09664734410472031,-0.08995647991588673,0.006690864188833564,0.11176749607466112,0.8947145056662952,True,1.116390017466988,0.883609982533012,0.9988503426087628,0.7905786687238275,0.8602206763305618,1.086838984232799,0.171875,0.109375,0.140625,-0.3753255974296905,-0.0029745031854261457,64,64
2020-04-01,2020-07-01,2020,512,509,138,23.968565815324165,0.5348284406276272,-0.47988929404423164,0.07029676126687884,0.08459301314617629,0.014296251879297391,0.04236947911440647,0.05098615980492327,0.008616680690516822,0.1659136782802139,0.6027230607901335,True,1.0151348637741604,0.9848651362258396,0.6118451922087371,0.5936009293715299,0.996931971664566,1.027572572145297,0.358974358974359,0.3076923076923077,0.33333333333333337,0.490563265846771,0.04852425231770635,78,78
2020-07-01,2020-10-01,2020,492,488,270,25.81967213114754,0.19204450689921848,-0.032865804023023235,0.16274417773415562,0.17310872774099778,0.010364550006842166,0.0850308092875382,0.09044609410603766,0.005415284818499449,0.19139436528684997,0.5224814212797029,True,1.0158528741672188,0.9841471258327814,0.5307642535059597,0.5141985890534462,0.9715857950432417,1.0028868616158726,0.2328767123287671,0.1917808219178082,0.21232876712328766,0.0843688944228222,0.052908451473361,73,73
2020-10-01,2021-01-01,2020,489,477,270,25.78616352201258,0.36071791633712197,-0.5075054525719648,-0.08806837663111616,-0.07706425670920514,0.011004119921911068,-0.05821441690369583,-0.05094054120282293,0.00727387570087286,0.15128276003658658,0.6610138523108368,True,1.0676313972952682,0.9323686027047319,0.7057191427741467,0.6163085618475269,0.9639150054545694,1.103754374784799,0.23943661971830985,0.23943661971830985,0.23943661971830985,0.35977782468129343,0.02202044218200257,71,71
2021-01-01,2021-04-01,2021,472,453,270,24.061810154525386,0.43215011687945376,-0.32739829756742284,0.1606439734534828,0.17042899514427895,0.009785021690796127,0.1326598862838455,0.14074036286121214,0.008080476577366642,0.12109461115454385,0.8258005789570405,True,1.073586032277026,0.9264139677229739,0.8865679670145601,0.7650331908995209,0.9446509890415791,1.0947202250246981,0.2028985507246377,0.21739130434782608,0.21014492753623187,0.28273338012665583,0.04687643133332791,69,69
