year,ticker,list_kind,priced,entry_date,exit_date,price_col,return,benchmark_ret,abnormal_ret
2021,SMMT,addition,True,2021-06-07,2021-06-25,adjClose,-0.15974842767295605,0.009467139915354084,-0.16921556758831013
2022,SMMT,deletion,True,2022-06-06,2022-06-24,adjClose,0.15151515151515138,-0.06551746377655376,0.21703261529170514
2023,SMMT,addition,True,2023-05-22,2023-06-23,adjClose,0.6666666666666665,0.01571050492389836,0.6509561617427682
2017,SMRT,deletion,False,,,,,,
2022,SMRT,addition,True,2022-06-06,2022-06-24,adjClose,-0.17891373801916932,-0.06551746377655376,-0.11339627424261556
2020,SMSI,addition,True,2020-06-15,2020-06-26,adjClose,-0.05150214592274671,-0.030640470954920174,-0.020861674967826538
2022,SMSI,deletion,True,2022-06-06,2022-06-24,adjClose,0.01132075471698113,-0.06551746377655376,0.0768382184935349
2022,SNCE,addition,True,2022-06-06,2022-06-24,adjClose,-0.3181818181818181,-0.06551746377655376,-0.25266435440526436
2023,SNCE,deletion,True,2023-05-22,2023-06-23,adjClose,-0.1324599708879186,0.01571050492389836,-0.14817047581181697
2019,SNCR,addition,True,2019-06-10,2019-06-28,adjClose,0.15812591508052698,0.028299177250638685,0.1298267378298883
2021,SNCR,deletion,True,2021-06-07,2021-06-25,adjClose,0.12063492063492065,0.009467139915354084,0.11116778071956657
2020,SNFCA,addition,True,2020-06-15,2020-06-26,adjClose,-0.06056338029409469,-0.030640470954920174,-0.02992290933917452
2021,SNFCA,deletion,True,2021-06-07,2021-06-25,adjClose,0.03448275861461947,0.009467139915354084,0.025015618699265385
2023,SNFCA,addition,True,2023-05-22,2023-06-23,adjClose,0.23011363635873128,0.01571050492389836,0.21440313143483292
2022,SOND,addition,True,2022-06-06,2022-06-24,adjClose,-0.2541436464088398,-0.06551746377655376,-0.18862618263228603
2023,SOND,deletion,True,2023-05-22,2023-06-23,adjClose,-0.07679238871899419,0.01571050492389836,-0.09250289364289255
