company,symbol,sector,list_kind,index_kind,source_file
CUMULUS MEDIA INC,CMLS,Consumer Discretionary,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
DICERNA PHARMACEUTICALS,DRNA,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
DIGITAL TURBINE INC,APPS,Technology,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
EAGLE BULK SHIPPING INC,EGLE,Producer Durables,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
ENDOCHOICE HOLDINGS INC,GI,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
ENERGY FUELS INC,UUUU,Materials & Processing,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
ENPHASE ENERGY INC,ENPH,Energy,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
EVERI HOLDINGS INC,EVRI,Financial Services,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
EVINE LIVE INC,EVLV,Consumer Discretionary,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
FENIX PTS INC,FENX,Consumer Discretionary,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
FIBROCELL SCIENCE INC,FCSC,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
FIVE STAR QUALITY CARE,FVE,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
FOAMIX PHARMACEUTICALS,FOMX,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
FOSTER L B CO,FSTR,Materials & Processing,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
GASTAR EXPL INC,GST,Energy,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
GENOCEA BIOSCIENCES INC,GNCA,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
GOLDEN OCEAN GROUP LTD,GOGL,Producer Durables,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
GULFMARK OFFSHORE INC,GLF,Producer Durables,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
HALCON RESOURCES CORP,HK,Energy,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
HALLADOR ENERGY CO,HNRG,Energy,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
HARTE HANKS INC,HHS,Consumer Discretionary,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
HARVARD BIOSCIENCE INC,HBIO,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
IMATION CORP,IMN,Technology,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
INTERNAP CORPORATION,INAP,Technology,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
