rebalance_date,hold_end,n_universe,n_delisted,n_long,n_short,guard_fired,usable,ic_cluster,ic_naive,mkt_ret,ls_ret,ls_gross,ls_cost,ls_ba_cost,ls_borrow_cost,long_scale,short_scale,mean_beta_long,mean_beta_short,avg_turnover,sign_ok,mean_long_ret,mean_short_ret
2017-07-01,2017-10-01,428,2,77,117,False,True,0.020759629902393634,-0.04583997141017919,0.05924516301675565,-0.021422453313860446,-0.0005732098044101269,0.020849243509450315,0.01731563190967507,0.0035336115997752463,0.9825025224659719,1.017497477534028,0.9993643882307603,0.9649930874315589,0.6262071262071263,True,0.058281918955023514,0.056840772059745893
2017-10-01,2018-01-01,390,2,49,145,False,True,0.031553745710908826,0.02043386378352792,0.0318429356842954,0.009891961943022366,0.029694009364645127,0.019802047421622764,0.016270488003677357,0.0035315594179454062,0.9995643310470432,1.0004356689529568,0.9762997117631411,0.9754493952732444,0.5858550316678395,True,0.045207457324736834,0.015487005267124048
2018-01-01,2018-04-01,417,2,38,282,False,True,0.04801079487997893,-0.06991702640263578,-0.010000799871656365,0.0005926201880201562,0.022606076490543903,0.022013456302523746,0.018536974441067815,0.0034764818614559313,1.0196621198061036,0.9803378801938964,0.9747273822685374,1.013826568285226,0.6733855916386711,True,0.006957964164059469,-0.01582240604475695
2018-04-01,2018-07-01,429,2,0,428,True,False,,0.06395725783260814,0.14755012213898547,,,,,,,,,,,,,
2018-07-01,2018-10-01,442,2,0,441,True,False,,,0.021529261515332385,,,,,,,,,,,,,
2018-10-01,2019-01-01,426,3,0,425,True,False,,,-0.22201243352719388,,,,,,,,,,,,,
2019-01-01,2019-04-01,455,3,0,454,True,False,,,0.17053053657903,,,,,,,,,,,,,
2019-04-01,2019-07-01,440,3,0,439,True,False,,,-0.01236953985797984,,,,,,,,,,,,,
2019-07-01,2019-10-01,448,3,0,447,True,False,,,-0.06853629721579911,,,,,,,,,,,,,
2019-10-01,2020-01-01,445,3,0,444,True,False,,,0.14899350121645746,,,,,,,,,,,,,
2020-01-01,2020-04-01,418,3,0,417,True,False,,,-0.37511731337168475,,,,,,,,,,,,,
2020-04-01,2020-07-01,512,3,0,511,True,False,,,0.5094513015429641,,,,,,,,,,,,,
