rebalance_date,hold_end,n_universe,n_with_signal,ls_ret,ls_gross,ls_cost,ls_ba_cost,ls_borrow_cost,long_scale,short_scale,mean_beta_long,mean_beta_short,avg_turnover,mkt_ret,ic,n_long,n_short
2015-11-01,2015-12-01,403,384,-0.007590024143000331,0.0014828059340020495,0.009072830077002374,0.008079384761494885,0.0009934453155074896,1.2875132587458735,0.7124867412541265,0.7769195238983807,1.4039477931013407,0.2792207792207792,0.026153268229909564,-0.07927247909561637,77,77
2015-12-01,2016-01-01,402,378,-0.015445611038661655,-0.0060404006967888155,0.00940521034187284,0.008391895231314245,0.0010133151105585934,1.269498330443018,0.7305016695569819,0.8066516872751408,1.4018352221780317,0.29333333333333333,-0.05532430753744055,0.07139756580100588,75,75
2016-01-01,2016-02-01,414,387,0.024325468740248227,0.03295878967956606,0.00863332093931782,0.007686482059905612,0.0009468388794122073,1.3168249120066702,0.6831750879933299,0.7670447509063147,1.4784842924882058,0.26623376623376627,-0.09926388937728552,0.3178526200633901,77,77
2016-02-01,2016-03-01,429,403,-0.0568078649148432,-0.047534292129089085,0.009273572785754122,0.008414527901271953,0.0008590448844821697,1.3880102062781587,0.611989793721841,0.6513919923527919,1.4773755100963084,0.30864197530864196,0.0466600866538348,-0.21053695647794693,81,81
2016-03-01,2016-04-01,414,391,0.018108855196426007,0.025538449128240798,0.0074295939318148,0.006615762613933977,0.0008138313178808228,1.4123141369550596,0.5876858630449402,0.64448780855658,1.5488193614247954,0.24683544303797467,0.07605264673483735,-0.12746577191201572,79,79
2016-04-01,2016-05-01,404,384,-0.07101790730947273,-0.06312928423253797,0.007888623076934748,0.007119394241173181,0.0007692288357615669,1.4474353055606421,0.552564694439358,0.6377999939494565,1.6707079522434498,0.2532467532467533,0.026345409660478217,-0.24010817776589788,77,77
2016-05-01,2016-06-01,400,385,0.006603892578698537,0.014589482047369682,0.007985589468671143,0.0071697091046400326,0.00081588036403111,1.4001774578198358,0.5998225421801642,0.6651240570523252,1.552612057481853,0.2597402597402597,0.010228048555533753,0.019934540913587626,77,77
2016-06-01,2016-07-01,397,385,0.034924848641970534,0.04361437481388797,0.00868952617191744,0.007807107109922121,0.0008824190619953197,1.3543678102416317,0.6456321897583684,0.7127645689074251,1.4951940187032124,0.2987012987012987,0.013313670970916049,0.16933783472914854,77,77
2016-07-01,2016-08-01,416,400,0.005628218126545265,0.015090038199719207,0.00946182007317395,0.008549334480170881,0.0009124855930030693,1.3221977790931467,0.6778022209068533,0.7141768182776655,1.393154188463934,0.30625,0.04803577766710366,-0.045527472579110044,80,80
2016-08-01,2016-09-01,405,396,-0.09094265617019731,-0.07969156581296488,0.011251090357232436,0.010281847922791814,0.0009692424344406222,1.2906779411766027,0.7093220588233973,0.7741060500999083,1.4085584828034468,0.3625,0.030656797890059508,-0.17075787749709326,80,80
2016-09-01,2016-10-01,398,389,-0.09344556289645091,-0.0810191590094477,0.012426403887003213,0.011371935552211429,0.001054468334791784,1.2294706643240882,0.7705293356759121,0.817394592950178,1.3042497237666038,0.40384615384615385,0.03601740306241037,-0.169212979194826,78,78
2016-10-01,2016-11-01,389,378,0.008290469912208373,0.019363941872902968,0.011073471960694572,0.00988984878722995,0.0011836231734646222,1.1009384477262019,0.8990615522737982,0.9579450665453649,1.1730437720333633,0.34868421052631576,-0.08963158304153386,0.05374715288665887,76,76
2016-11-01,2016-12-01,406,397,0.03380819670702097,0.04641543529305177,0.012607238586030812,0.011515229302606858,0.0010920092834239541,1.2026770264048925,0.7973229735951077,0.8227761859339215,1.241070493973083,0.38125000000000003,0.12404156635045545,0.009482957679381615,80,80
2016-12-01,2017-01-01,389,372,0.021219058319700692,0.03497136137183792,0.013752303052137227,0.012676929746424563,0.001075373305712664,1.2046173711427244,0.7953826288572756,0.8445599951223011,1.2790971341154307,0.43999999999999995,0.022387802843013255,0.049572762500869526,75,75
2017-01-01,2017-02-01,386,369,-0.07111073510569046,-0.058126442396517666,0.012984292709172797,0.011999549731869275,0.0009847429773035214,1.2627728125721334,0.7372271874278666,0.7569221705062587,1.2965077176320408,0.3851351351351351,0.0022711645159880114,-0.1484310937745258,74,74
2017-02-01,2017-03-01,393,378,-0.050696670488125074,-0.03682911060580683,0.013867559882318246,0.012737690775365797,0.0011298691069524492,1.161623910332223,0.8383760896677768,0.9184872554864866,1.2726230750823524,0.4342105263157895,0.03822555535865434,-0.1364075458187021,76,76
2017-03-01,2017-04-01,395,380,-0.0306595214528288,-0.018793068424991302,0.011866453027837497,0.010670242342646767,0.0011962106851907302,1.0972135561728433,0.9027864438271566,0.9740183325718983,1.183786183062542,0.38815789473684215,-0.0006400080323023448,0.0016941076797614934,76,76
2017-04-01,2017-05-01,406,391,0.030475967244475582,0.04225356990348089,0.011777602659005314,0.010635494278747536,0.0011421083802577768,1.1400514811753204,0.8599485188246795,0.8652319297348307,1.1470558079482858,0.379746835443038,0.02885061294584311,0.14783526321491233,79,79
2017-05-01,2017-06-01,408,392,0.024891790003133393,0.03464566577358224,0.00975387577044885,0.008590611923184555,0.0011632638472642944,1.1409522000698944,0.8590477999301057,0.845872149349145,1.1234528391275551,0.310126582278481,-0.012811729880431928,0.10043580862308407,79,79
2017-06-01,2017-07-01,430,410,-0.030456057244962434,-0.017814340898536608,0.012641716346425821,0.011403298102070362,0.0012384182443554586,1.1151711500516348,0.8848288499483651,0.9162339949531769,1.154751812091077,0.42073170731707316,0.022634276929219235,-0.07709479579847389,82,82
2017-07-01,2017-08-01,430,405,0.04752101291734023,0.05768939331538129,0.010168380398041065,0.008947460228990862,0.0012209201690502036,1.1216572834061498,0.87834271659385,0.8419812105497732,1.0752230757564099,0.3395061728395061,-0.017042046366521672,0.22156240207751327,81,81
2017-08-01,2017-09-01,419,401,-0.036046279959475465,-0.02669668813336746,0.009349591826108006,0.00817390132099932,0.001175690505108685,1.1654255738700117,0.8345744261299886,0.8496479238318039,1.1864746728590936,0.30864197530864196,0.0024679625060736324,0.023523619086523093,81,81
2017-09-01,2017-10-01,416,398,-0.01460064829941446,-0.0029463581671279188,0.011654290132286546,0.010490067578377588,0.0011642225539089577,1.163354521170626,0.8366454788293738,0.8425197303607419,1.1715226607834432,0.38749999999999996,0.07872158832502936,-0.04765653932506442,80,80
2017-10-01,2017-11-01,392,379,0.03412950595493034,0.04398978956391063,0.009860283608980294,0.008707736664307365,0.0011525469446729284,1.1437587401527152,0.8562412598472846,0.8848029425481435,1.1819111578818053,0.3223684210526316,-0.030965436605925056,0.1881242855414471,76,76
2017-11-01,2017-12-01,407,392,0.028202816260347832,0.03979898598037197,0.011596169720024148,0.010623089445468453,0.0009730802745556961,1.265843008868162,0.7341569911318377,0.7130654239652764,1.2294766551231624,0.3987341772151899,0.04262403674011412,-0.04477990613176606,79,79
2017-12-01,2018-01-01,407,390,-0.05049038011463671,-0.03792862338583787,0.012561756728798848,0.011454466474024087,0.0011072902547747605,1.186439551526535,0.813560448473465,0.7965042550581928,1.1615659941844396,0.4166666666666667,0.021415783634382388,-0.08904030921498322,78,78
2018-01-01,2018-02-01,418,405,-0.003756465943951272,0.0074404597208825585,0.011196925664833832,0.010009957516780207,0.0011869681480536243,1.1094126606158288,0.8905873393841712,0.9751575382533517,1.214762518161687,0.3827160493827161,0.009836621342847287,0.05351224640460638,81,81
2018-02-01,2018-03-01,420,410,-0.008061045408354131,0.005199474710027123,0.013260520118381247,0.01220461671274223,0.0010559034056390182,1.1880826672962514,0.8119173327037484,0.8224763272119523,1.2035336964268868,0.4451219512195122,-0.03905615722561217,0.043343962406760486,82,82
2018-03-01,2018-04-01,428,416,0.01319562647742542,0.024580557597280644,0.011384931119855222,0.010247309172603112,0.0011376219472521096,1.1320024748572355,0.8679975251427646,0.9176968925621042,1.1968181054182536,0.36904761904761907,0.01742259344105907,0.09488181539895725,84,84
2018-04-01,2018-05-01,431,422,-0.054519408864458045,-0.04346801226691313,0.011051396597544911,0.009947431909925884,0.001103964687619027,1.17468774325181,0.82531225674819,0.8355950976830823,1.1893235700110283,0.34705882352941175,0.04638457137208885,-0.15770669587224834,85,85
2018-05-01,2018-06-01,424,415,0.06355044373986596,0.07437309593797731,0.010822652198111344,0.009703086323456903,0.0011195658746544403,1.1785840687720506,0.8214159312279493,0.8417090172353751,1.207700995977028,0.3373493975903614,0.1052710684187748,0.08846461650288497,83,83
2018-06-01,2018-07-01,431,420,0.012316076278602777,0.023959161309503527,0.011643085030900752,0.010516459716836575,0.001126625314064176,1.127848877207803,0.8721511227921971,0.9172449696713915,1.1861633633588435,0.38690476190476186,0.005040104954478816,0.15907323355824166,84,84
2018-07-01,2018-08-01,444,433,0.01296072045200464,0.02636115230003042,0.013400431848025777,0.012384692694965022,0.0010157391530607547,1.2375062576333606,0.7624937423666394,0.7770168747917926,1.2610768999323805,0.41954022988505746,0.0011854783738266877,0.10473009504407907,87,87
2018-08-01,2018-09-01,437,427,-0.019072101785119956,-0.008090077323784355,0.010982024461335598,0.00995025973215808,0.0010317647291775177,1.2291752134516734,0.7708247865483265,0.723858794404179,1.1542821451095686,0.3430232558139535,0.05518713722189084,-0.03593351876530733,86,86
2018-09-01,2018-10-01,426,416,-0.050951914080923,-0.03907562620097631,0.011876287879946705,0.010755955927137899,0.0011203319528088067,1.160702596529511,0.8392974034704889,0.9013247719776846,1.246483068844205,0.40476190476190477,-0.0314436849335829,-0.015935593386360452,84,84
2018-10-01,2018-11-01,428,423,-0.06390235379346762,-0.05095114263484643,0.012951211158621186,0.011967062511252766,0.0009841486473684208,1.2470124655555863,0.7529875344444137,0.7953559537117575,1.3171782313291809,0.43529411764705883,-0.09132206075319763,0.01457832910829147,85,85
2018-11-01,2018-12-01,440,435,0.014696300153020588,0.0272957426118592,0.012599442458838612,0.011561495860667806,0.001037946598170806,1.2545138459770726,0.7454861540229274,0.7398404338413944,1.2450131542472198,0.39655172413793105,-0.015343019119154581,0.01001076046499321,87,87
2018-12-01,2019-01-01,441,436,0.04220442031454047,0.050883970787472546,0.00867955047293207,0.007566553074280245,0.0011129973986518235,1.1927058485381268,0.8072941514618733,0.839928724259045,1.2409205491763589,0.2727272727272727,-0.13922000512971192,0.3278779775683703,88,88
2019-01-01,2019-02-01,457,452,-0.05139124962741487,-0.042924493497596805,0.008466756129818077,0.0073441386657431655,0.001122617464074912,1.1760255025737318,0.823974497426268,0.8602047697489806,1.2277355061597517,0.2582417582417582,0.11082624379452656,-0.25296611799342256,91,91
2019-02-01,2019-03-01,436,432,-0.050549537203996395,-0.042013041485967885,0.008536495718028508,0.007436461752254358,0.0011000339657741508,1.184945722400241,0.815054277599759,0.8738713516785367,1.2704554145142308,0.25862068965517243,0.07161382372531694,-0.12052939949380896,87,87
2019-03-01,2019-04-01,421,417,-0.03736154093489539,-0.02783718388226835,0.009524357052627035,0.00847073253293882,0.0010536245196882165,1.2119368977023617,0.7880631022976385,0.8539392296423018,1.3132456751009811,0.3035714285714286,-0.009670857091044843,0.013959517517999896,84,84
2019-04-01,2019-05-01,442,438,0.019251618384648034,0.027726023098128227,0.008474404713480193,0.007465832792734012,0.0010085719207461813,1.2472282467530629,0.7527717532469369,0.7732564085038991,1.2811682033883656,0.28409090909090906,0.0049882206169672315,0.09219065501847688,88,88
2019-05-01,2019-06-01,444,441,-0.020276583468568476,-0.010838107753865261,0.009438475714703201,0.008462765446466701,0.0009757102682365004,1.290108429995434,0.7098915700045663,0.6997327156300451,1.2716464222446144,0.3033707865168539,-0.0980607458122279,0.21068881800191389,89,89
2019-06-01,2019-07-01,474,472,0.038046827775362745,0.048714117329998495,0.010667289554635749,0.00965366415919665,0.0010136253954390994,1.2717304513461365,0.7282695486538634,0.741474695520559,1.2947897532432373,0.3526315789473684,0.07996920555975694,-0.007009006970805766,95,95
2019-07-01,2019-08-01,450,448,0.06865444420187701,0.0782484582287757,0.009594014026898686,0.008498887163681766,0.0010951268632169203,1.2093063924369976,0.7906936075630023,0.8171953637720945,1.2498388349506526,0.2833333333333333,-0.025651374216428935,0.1952719385797366,90,90
2019-08-01,2019-09-01,450,448,-0.002353875660833199,0.0068890147627045095,0.009242890423537709,0.008188231057990773,0.001054659365546936,1.2257264578816662,0.7742735421183334,0.7998532758050152,1.2662208757582634,0.29444444444444445,-0.05873135005469472,0.13899412395729832,90,90
2019-09-01,2019-10-01,460,457,-0.06558074049231008,-0.056017004309657746,0.009563736182652336,0.008637042198625215,0.0009266939840271208,1.3158591909463713,0.6841408090536287,0.6996481520148228,1.3456856235938721,0.30978260869565216,0.03148927552114121,-0.09716671726214193,92,92
2019-10-01,2019-11-01,447,444,0.0654791663121901,0.07498023487729381,0.009501068565103713,0.008575490095930265,0.0009255784691734476,1.3040036581752608,0.6959963418247391,0.7115294986107777,1.333106244000496,0.3146067415730337,0.05872089956536449,0.07336110549576093,89,89
2019-11-01,2019-12-01,419,416,-0.019717939596475668,-0.010492478743865778,0.009225460852609895,0.008265232649888252,0.0009602282027216433,1.272838919271026,0.7271610807289739,0.7830783326430438,1.3707177199675091,0.3035714285714286,0.0305403365005777,-0.09876972849670222,84,84
2019-12-01,2020-01-01,424,422,-0.033416398411458964,-0.023597852404609897,0.009818546006849067,0.008805897630020394,0.0010126483768286734,1.2709221763771685,0.7290778236228314,0.7511204942070006,1.3093467696980727,0.31176470588235294,0.06357827772279558,-0.15701610863818308,85,85
2020-01-01,2020-02-01,420,418,0.003254054810433893,0.014019822010097063,0.010765767199663165,0.009822996748773644,0.0009427704508895204,1.3260990576492615,0.6739009423507385,0.7433591362035594,1.4627785599704004,0.34523809523809523,-0.048448915100755566,0.1540551904386362,84,84
2020-02-01,2020-03-01,434,432,-0.10372088962357938,-0.09389830939672886,0.009822580226850508,0.008934877973224188,0.0008877022536263207,1.3709953319048223,0.6290046680951776,0.6856603276474027,1.4944835168292878,0.3218390804597701,-0.09380545467347715,0.024314250677381632,87,87
2020-03-01,2020-04-01,463,461,-0.23355182862241952,-0.22033155252130956,0.013220276101110002,0.012434280552758118,0.0007859955483518838,1.4444391313187355,0.5555608686812646,0.5448787576760912,1.4166660104767501,0.4193548387096774,-0.3017413536834297,0.0973651261434028,93,93
2020-04-01,2020-05-01,514,512,-0.17681680970432506,-0.1588616928983533,0.017955116805971765,0.01693076576914133,0.0010243510368304338,1.253616418086844,0.7463835819131561,0.7781345297060892,1.3069449081656497,0.5825242718446602,0.2677137574807694,-0.4513447072401083,103,103
2020-05-01,2020-06-01,486,484,-0.062056428927993235,-0.05227636915068411,0.009780059777309119,0.008790691532469051,0.0009893682448400675,1.2665791414514282,0.733420858548572,0.7596871192850838,1.311939588437662,0.29381443298969073,0.14224520504820734,-0.20602606330764242,97,97
2020-06-01,2020-07-01,474,472,-0.059435862299485435,-0.04974058763254269,0.009695274666942744,0.008667441996961811,0.0010278326699809334,1.2555940183154086,0.7444059816845914,0.774243301494441,1.3059208039640555,0.2894736842105263,0.06427214532461425,0.03182120663499515,95,95
2020-07-01,2020-08-01,494,492,0.1041081619204102,0.11264933837846129,0.008541176458051086,0.007708521581386783,0.0008326548766643034,1.3940540908085146,0.6059459091914855,0.6530407782707209,1.5024017071553273,0.24747474747474746,0.04967149590580068,0.07627486248547512,99,99
2020-08-01,2020-09-01,495,493,-0.1604141240190028,-0.1505176542711183,0.009896469747884511,0.009074933008253839,0.0008215367396306717,1.4041629011076053,0.5958370988923944,0.6626664848219719,1.561654511818912,0.29797979797979796,0.05374126667906167,-0.21677734930984383,99,99
2020-09-01,2020-10-01,491,489,0.004149263435982757,0.016328942001316713,0.012179678565333958,0.011225431200493506,0.0009542473648404513,1.3068812270442414,0.6931187729557585,0.7677300356807314,1.4475613851728637,0.37244897959183676,-0.03419750694686388,0.05932641513222913,98,98
2020-10-01,2020-11-01,491,489,-0.0032050101008217827,0.006481076497700683,0.009686086598522466,0.008623398977291452,0.0010626876212310138,1.193595282283077,0.8064047177169229,0.9110784951234081,1.3485275689453526,0.3010204081632653,0.0027626721559908095,0.043567738465850187,98,98
2020-11-01,2020-12-01,477,474,-0.1558362180496045,-0.14547324114372767,0.010362976905876845,0.009244153484628093,0.0011188234212487522,1.152520846068754,0.847479153931246,0.9133523539338794,1.242104449214762,0.31052631578947365,0.2234120098800691,-0.3645628777432382,95,95
2020-12-01,2021-01-01,462,458,0.03640642133740095,0.0495832392199757,0.01317681788257475,0.012056163360805044,0.0011206545217697067,1.1780334209431091,0.8219665790568907,0.9216930075013946,1.3209602365244832,0.4184782608695652,0.09254986459107993,0.07348086597741087,92,92
