member,reference,construction,sector_group,entry_date,exit_date,holding_days,exit_reason,direction,entry_z,trade_pnl,trade_gross,trade_cost,profitable
CRK,"['AMPY', 'CRK', 'GTE', 'MTDR', 'NGS', 'NOG', 'REI', 'TTI', 'WTI']",basket,13,2016-06-29,2016-07-01,2,period_forced_close,long_m_short_ref,-2.846287400183993,-0.04227159708923121,-0.007946680879745559,0.03432491620948565,False
GTE,"['AMPY', 'CRK', 'GTE', 'MTDR', 'NGS', 'NOG', 'REI', 'TTI', 'WTI']",basket,13,2016-01-15,2016-01-25,5,time_forced,long_ref_short_m,2.5263720044358124,-0.10308148580252877,-0.07404878471187737,0.0290327010906514,False
GTE,"['AMPY', 'CRK', 'GTE', 'MTDR', 'NGS', 'NOG', 'REI', 'TTI', 'WTI']",basket,13,2016-01-26,2016-02-02,5,time_forced,long_ref_short_m,3.194245182016968,0.004632547411794516,0.03366524850244593,0.0290327010906514,True
GTE,"['AMPY', 'CRK', 'GTE', 'MTDR', 'NGS', 'NOG', 'REI', 'TTI', 'WTI']",basket,13,2016-02-03,2016-02-10,5,time_forced,long_ref_short_m,2.826973250096842,-0.04523143446309755,-0.016198733372446143,0.0290327010906514,False
GTE,"['AMPY', 'CRK', 'GTE', 'MTDR', 'NGS', 'NOG', 'REI', 'TTI', 'WTI']",basket,13,2016-02-11,2016-02-19,5,time_forced,long_ref_short_m,3.180947878640607,-0.04222414850170672,-0.013191447411055324,0.0290327010906514,False
GTE,"['AMPY', 'CRK', 'GTE', 'MTDR', 'NGS', 'NOG', 'REI', 'TTI', 'WTI']",basket,13,2016-02-22,2016-02-29,5,time_forced,long_ref_short_m,3.746495206429986,-0.05260345042093802,-0.02357074933028662,0.0290327010906514,False
GTE,"['AMPY', 'CRK', 'GTE', 'MTDR', 'NGS', 'NOG', 'REI', 'TTI', 'WTI']",basket,13,2016-03-01,2016-03-08,5,time_forced,long_ref_short_m,4.168230694758405,-0.02266734080711838,0.006365360283533031,0.0290327010906514,False
GTE,"['AMPY', 'CRK', 'GTE', 'MTDR', 'NGS', 'NOG', 'REI', 'TTI', 'WTI']",basket,13,2016-03-09,2016-03-16,5,time_forced,long_ref_short_m,3.5744454557825547,-0.02940309943113092,-0.0003703983404795205,0.0290327010906514,False
GTE,"['AMPY', 'CRK', 'GTE', 'MTDR', 'NGS', 'NOG', 'REI', 'TTI', 'WTI']",basket,13,2016-03-17,2016-03-24,5,time_forced,long_ref_short_m,3.7219054541434096,-0.01855391915990922,0.010478781930742184,0.0290327010906514,False
GTE,"['AMPY', 'CRK', 'GTE', 'MTDR', 'NGS', 'NOG', 'REI', 'TTI', 'WTI']",basket,13,2016-03-28,2016-04-04,5,time_forced,long_ref_short_m,3.7214234763252896,0.009159117716407743,0.038191818807059144,0.0290327010906514,True
