member,reference,construction,sector_group,entry_date,exit_date,holding_days,exit_reason,direction,entry_z,trade_pnl,trade_gross,trade_cost,profitable
HCKT,VVX,peer,87,2018-08-31,2018-09-10,5,time_forced,long_ref_short_m,3.0621638751863687,-0.012979346746406783,0.019020080468883482,0.03199942721529027,False
HCKT,VVX,peer,87,2018-09-11,2018-09-18,5,time_forced,long_ref_short_m,2.65548885825076,-0.03180358908027865,0.00019583813501161673,0.03199942721529027,False
HCKT,VVX,peer,87,2018-09-19,2018-09-26,5,time_forced,long_ref_short_m,2.7011866568628746,-0.0649661914846535,-0.032966764269363236,0.03199942721529027,False
HCKT,VVX,peer,87,2018-09-27,2018-10-04,5,time_forced,long_ref_short_m,3.2336613672782333,-0.04455035459359681,-0.012550927378306542,0.03199942721529027,False
HCKT,VVX,peer,87,2018-10-05,2018-10-12,5,time_forced,long_ref_short_m,3.6283704270599033,-0.027014262974917668,0.004985164240372597,0.03199942721529027,False
HCKT,VVX,peer,87,2018-10-15,2018-10-22,5,time_forced,long_ref_short_m,3.8902007957834295,-0.06442093086822566,-0.03242150365293539,0.03199942721529027,False
HCKT,VVX,peer,87,2018-10-23,2018-10-30,5,time_forced,long_ref_short_m,4.7960500886662585,-0.044579965543492535,-0.012580538328202273,0.03199942721529027,False
HCKT,VVX,peer,87,2018-10-31,2018-11-07,5,time_forced,long_ref_short_m,5.512360955998857,-0.03603948371975753,-0.00404005650446726,0.03199942721529027,False
HCKT,VVX,peer,87,2018-11-08,2018-11-15,5,time_forced,long_ref_short_m,5.043915202774729,-0.0458288128450441,-0.013829385629753832,0.03199942721529027,False
HCKT,VVX,peer,87,2018-11-16,2018-11-26,5,time_forced,long_ref_short_m,4.987113916951955,-0.04218528250611632,-0.010185855290826051,0.03199942721529027,False
HCKT,VVX,peer,87,2018-11-27,2018-12-04,5,time_forced,long_ref_short_m,5.017311321645833,-0.04570559611575849,-0.013706168900468219,0.03199942721529027,False
HCKT,VVX,peer,87,2018-12-06,2018-12-13,5,time_forced,long_ref_short_m,5.32710697702749,-0.03986836026796366,-0.007868933052673388,0.03199942721529027,False
HCKT,VVX,peer,87,2018-12-14,2018-12-21,5,time_forced,long_ref_short_m,5.543151346352077,-0.04941798244462871,-0.01741855522933844,0.03199942721529027,False
HCKT,VVX,peer,87,2018-12-24,2018-12-31,4,period_forced_close,long_ref_short_m,6.114733838504595,0.003156679326621281,0.03513638398612928,0.031979704659508,True
MG,HCKT,peer,87,2018-10-05,2018-10-12,5,time_forced,long_m_short_ref,-2.62442202141871,-0.044792993747352766,-0.01513872860970461,0.02965426513764816,False
MG,HCKT,peer,87,2018-10-15,2018-10-22,5,time_forced,long_m_short_ref,-2.8640607972248326,-0.05179689249897515,-0.022142627361326994,0.02965426513764816,False
MG,HCKT,peer,87,2018-10-23,2018-10-30,5,time_forced,long_m_short_ref,-3.2002265014416427,-0.014365477331154817,0.015288787806493342,0.02965426513764816,False
MG,HCKT,peer,87,2018-10-31,2018-11-07,5,time_forced,long_m_short_ref,-3.1650056296957048,-0.08783733157969906,-0.0581830664420509,0.02965426513764816,False
MG,HCKT,peer,87,2018-11-08,2018-11-15,5,time_forced,long_m_short_ref,-3.4368886189209733,-0.0495907006914668,-0.019936435553818632,0.02965426513764816,False
MG,HCKT,peer,87,2018-11-16,2018-11-26,5,time_forced,long_m_short_ref,-3.7139298716344156,-0.020905520349574467,0.008748744788073692,0.02965426513764816,False
MG,HCKT,peer,87,2018-11-27,2018-12-04,5,time_forced,long_m_short_ref,-3.47157677189135,-0.03668486290974418,-0.0070305977720960255,0.02965426513764816,False
MG,HCKT,peer,87,2018-12-06,2018-12-13,5,time_forced,long_m_short_ref,-3.714384950446569,-0.0511975582534995,-0.021543293115851347,0.02965426513764816,False
MG,HCKT,peer,87,2018-12-14,2018-12-21,5,time_forced,long_m_short_ref,-4.269848489207162,-0.020801126333019702,0.008853138804628458,0.02965426513764816,False
MG,HCKT,peer,87,2018-12-24,2018-12-31,4,period_forced_close,long_m_short_ref,-4.250447395791701,-0.022463451796198707,0.007171090785667189,0.029634542581865896,False
VSEC,MG,peer,87,2018-08-07,2018-08-14,5,time_forced,long_m_short_ref,-3.1015893707451925,-0.02724583673045546,0.005145845489259893,0.03239168221971535,False
VSEC,MG,peer,87,2018-08-15,2018-08-22,5,time_forced,long_m_short_ref,-3.1924848074191723,-0.018862220744445844,0.01352946147526951,0.03239168221971535,False
VSEC,MG,peer,87,2018-08-23,2018-08-30,5,time_forced,long_m_short_ref,-2.999571375341746,-0.06270327853458098,-0.03031159631486563,0.03239168221971535,False
VSEC,MG,peer,87,2018-08-31,2018-09-10,5,time_forced,long_m_short_ref,-3.5320810755452765,-0.024070505011977234,0.008321177207738117,0.03239168221971535,False
VSEC,MG,peer,87,2018-09-11,2018-09-18,5,time_forced,long_m_short_ref,-4.024915390219076,-0.036099490617163846,-0.0037078083974484977,0.03239168221971535,False
VSEC,MG,peer,87,2018-09-19,2018-09-26,5,time_forced,long_m_short_ref,-4.089347027731293,-0.050524939222197154,-0.018133257002481806,0.03239168221971535,False
VSEC,MG,peer,87,2018-09-27,2018-10-04,5,time_forced,long_m_short_ref,-4.517629560952684,-0.008081481121490501,0.02431020109822485,0.03239168221971535,False
VSEC,MG,peer,87,2018-10-05,2018-10-12,5,time_forced,long_m_short_ref,-4.086531664376803,-0.04885272551642657,-0.01646104329671122,0.03239168221971535,False
VSEC,MG,peer,87,2018-10-15,2018-10-22,5,time_forced,long_m_short_ref,-4.512707564966659,-0.03180787218325083,0.000583810036464516,0.03239168221971535,False
VSEC,MG,peer,87,2018-10-23,2018-10-30,5,time_forced,long_m_short_ref,-4.4098627893518865,-0.058934929852061405,-0.026543247632346056,0.03239168221971535,False
VSEC,MG,peer,87,2018-10-31,2018-11-07,5,time_forced,long_m_short_ref,-4.2147321642219815,0.015348677611779642,0.047740359831494994,0.03239168221971535,True
VSEC,MG,peer,87,2018-11-08,2018-11-15,5,time_forced,long_m_short_ref,-3.474853741201284,-0.00862297407676051,0.023768708142954842,0.03239168221971535,False
VSEC,MG,peer,87,2018-11-16,2018-11-26,5,time_forced,long_m_short_ref,-3.0495666715415672,-0.06556948323355068,-0.03317780101383533,0.03239168221971535,False
VSEC,MG,peer,87,2018-11-27,2018-12-04,5,time_forced,long_m_short_ref,-3.7517887245660027,0.0012837351888177854,0.03367541740853314,0.03239168221971535,True
VVX,HCKT,peer,87,2018-08-23,2018-08-30,5,time_forced,long_m_short_ref,-2.7908924068006797,-0.04653951478737851,-0.014540087572088245,0.03199942721529027,False
VVX,HCKT,peer,87,2018-08-31,2018-09-10,5,time_forced,long_m_short_ref,-3.0621638751863687,-0.012979346746406783,0.019020080468883482,0.03199942721529027,False
VVX,HCKT,peer,87,2018-09-11,2018-09-18,5,time_forced,long_m_short_ref,-2.65548885825076,-0.03180358908027865,0.00019583813501161673,0.03199942721529027,False
VVX,HCKT,peer,87,2018-09-19,2018-09-26,5,time_forced,long_m_short_ref,-2.7011866568628746,-0.0649661914846535,-0.032966764269363236,0.03199942721529027,False
VVX,HCKT,peer,87,2018-09-27,2018-10-04,5,time_forced,long_m_short_ref,-3.2336613672782333,-0.04455035459359681,-0.012550927378306542,0.03199942721529027,False
VVX,HCKT,peer,87,2018-10-05,2018-10-12,5,time_forced,long_m_short_ref,-3.6283704270599033,-0.027014262974917668,0.004985164240372597,0.03199942721529027,False
VVX,HCKT,peer,87,2018-10-15,2018-10-22,5,time_forced,long_m_short_ref,-3.8902007957834295,-0.06442093086822566,-0.03242150365293539,0.03199942721529027,False
VVX,HCKT,peer,87,2018-10-23,2018-10-30,5,time_forced,long_m_short_ref,-4.7960500886662585,-0.044579965543492535,-0.012580538328202273,0.03199942721529027,False
VVX,HCKT,peer,87,2018-10-31,2018-11-07,5,time_forced,long_m_short_ref,-5.512360955998857,-0.03603948371975753,-0.00404005650446726,0.03199942721529027,False
VVX,HCKT,peer,87,2018-11-08,2018-11-15,5,time_forced,long_m_short_ref,-5.043915202774729,-0.0458288128450441,-0.013829385629753832,0.03199942721529027,False
VVX,HCKT,peer,87,2018-11-16,2018-11-26,5,time_forced,long_m_short_ref,-4.987113916951955,-0.04218528250611632,-0.010185855290826051,0.03199942721529027,False
VVX,HCKT,peer,87,2018-11-27,2018-12-04,5,time_forced,long_m_short_ref,-5.017311321645833,-0.04570559611575849,-0.013706168900468219,0.03199942721529027,False
VVX,HCKT,peer,87,2018-12-06,2018-12-13,5,time_forced,long_m_short_ref,-5.32710697702749,-0.03986836026796366,-0.007868933052673388,0.03199942721529027,False
VVX,HCKT,peer,87,2018-12-14,2018-12-21,5,time_forced,long_m_short_ref,-5.543151346352077,-0.04941798244462871,-0.01741855522933844,0.03199942721529027,False
VVX,HCKT,peer,87,2018-12-24,2018-12-31,4,period_forced_close,long_m_short_ref,-6.114733838504595,0.003156679326621281,0.03513638398612928,0.031979704659508,True
AMPY,SD,peer,13,2019-01-15,2019-01-23,5,time_forced,long_ref_short_m,2.8678507398932083,-0.08158190557263052,-0.04675138896490111,0.034830516607729414,False
AMPY,SD,peer,13,2019-01-24,2019-01-31,5,time_forced,long_ref_short_m,3.853728210606194,-0.012112341082116576,0.022718175525612838,0.034830516607729414,False
AMPY,SD,peer,13,2019-02-01,2019-02-08,5,time_forced,long_ref_short_m,3.2943751390106115,-0.05487935405073448,-0.020048837443005063,0.034830516607729414,False
AMPY,SD,peer,13,2019-02-11,2019-02-19,5,time_forced,long_ref_short_m,3.6656679584078744,0.004675210888903478,0.03950572749663289,0.034830516607729414,True
AMPY,SD,peer,13,2019-02-20,2019-02-27,5,time_forced,long_ref_short_m,2.7360362329120576,-0.05209805345155939,-0.017267536843829978,0.034830516607729414,False
AMPY,SD,peer,13,2019-02-28,2019-03-07,5,time_forced,long_ref_short_m,2.858862652940511,-0.01010214891829865,0.024728367689430764,0.034830516607729414,False
AMPY,SD,peer,13,2019-03-08,2019-03-15,5,time_forced,long_ref_short_m,2.573825083617166,-0.08936817791336568,-0.054537661305636254,0.034830516607729414,False
AMPY,SD,peer,13,2019-03-18,2019-03-25,5,time_forced,long_ref_short_m,4.064127897366269,-0.052585721366232366,-0.01775520475850295,0.034830516607729414,False
