rebalance_date,hold_end,n_universe,n_with_signal,n_pass_filter,n_delisted,ls_ret,ls_gross,ls_cost,ls_ba_cost,ls_borrow_cost,long_ret,short_ret,ls_naive_net,ls_naive_gross,long_scale,short_scale,mean_beta_long,mean_beta_short,actual_turnover,n_active_longs,n_active_shorts,n_carry_longs,n_carry_shorts,n_long,n_short,mkt_ret,ic,mean_r1m_long,mean_r1m_short,sign_ok
2016-05-01,2016-06-01,398,344,35,1,0.00499881233960962,0.010234533239104058,0.00523572089949444,0.003973407794991223,0.0012623131045032166,0.013959427023484188,-0.007112389495098491,0.002136077894607203,0.03339133974579161,0.9122892330072171,1.0877107669927828,1.1569080335645208,0.9703266480651354,0.1566265060240964,20,15,98,116,118,131,0.00998169405406357,0.08442517842034979,-0.04434016052943183,0.023283927947192706,True
2016-06-01,2016-07-01,395,341,35,1,-0.056483476966233494,-0.051060977397657734,0.005422499568575764,0.004152386341194636,0.001270113227381128,-0.0067717059065518295,-0.045821749810889295,-0.016767639384775976,0.015023952460325837,0.9003836907758178,1.0996163092241822,1.1906324129543957,0.9749091545300453,0.188,17,18,100,115,117,133,0.013258145616808622,-0.004917849220256091,-0.028245368510604604,0.03412625286420925,True
2016-07-01,2016-08-01,414,362,32,1,-0.0008171041945920915,0.003904849759988685,0.004721953954580764,0.0034297314904467757,0.0012922224641339882,0.06635465862073778,-0.05600680091788888,0.012017687230565212,0.04474428100380737,0.9087542602095517,1.0912457397904483,1.1439361452702137,0.9526331306655322,0.15384615384615385,13,19,105,123,118,142,0.048299711498420675,0.1295903335343976,-0.04572407704673437,0.04143161606083956,True
2016-08-01,2016-09-01,403,358,29,1,0.011797628384314366,0.016207967021446897,0.004410338637132531,0.003149281030981893,0.0012610576061506383,0.039815183257581266,-0.022483760361539217,0.003132155396977445,0.03376457488491594,0.9111735417929417,1.0888264582070581,1.1416666928374943,0.9553923641539142,0.15708812260536398,13,16,104,128,117,144,0.03078177234094376,0.027329068600098413,-0.02422946678057828,0.026675795906199853,True
2016-09-01,2016-10-01,396,349,46,1,0.012849961930856996,0.019256911561956247,0.006406949631099256,0.0051762364929583814,0.0012307131381408742,0.05006660617007785,-0.03496817414930853,-0.02836739529110946,0.0034491493383109056,0.9735582301563291,1.0264417698436707,1.045559609296646,0.9916910950582379,0.22932330827067668,21,25,100,120,121,145,0.03611781166436862,0.02800473414876002,-0.05722152802455798,0.04773567411780759,True
2016-10-01,2016-11-01,387,341,23,1,-0.011245399270084902,-0.0077843233623929725,0.003461075907691932,0.0022841435329638577,0.0011769323747280744,-0.09474578754546442,0.08857799050846,0.015466491200416432,0.04485388302779787,1.0276974557636867,0.9723025442363132,0.9715701493250226,1.0269233341783741,0.12878787878787878,15,8,106,135,121,143,-0.08943608746123162,0.1577443263151842,-0.024696804093206882,0.02364401494703107,True
2016-11-01,2016-12-01,404,363,38,1,-0.0056103520770801885,-5.1191659788618615e-05,0.005559160417291573,0.004350372207514571,0.0012087882097770017,0.12342124533923685,-0.13444737703514054,-0.13696901446378812,-0.103013422658253,1.0210020884625535,0.9789979115374464,0.9680398345000719,1.009573852090606,0.13970588235294118,22,16,112,122,134,138,0.12362283173601395,-0.006298071591893792,-0.050305833971415824,0.00963828633073498,True
2016-12-01,2017-01-01,387,341,42,1,-0.0020241354585236425,0.0034572265508900496,0.005481362009413692,0.004285119505157482,0.0011962425042562098,0.023826786443252247,-0.02631319098656023,-0.09997530252373026,-0.06998274919887915,1.0092195710584722,0.990780428941528,0.9855657427130052,1.0039078357384916,0.21933085501858737,18,24,111,116,129,140,0.022156406461213116,-0.018204824093777133,-0.017410799458391177,0.09882835031325961,True
2017-01-01,2017-02-01,384,338,27,1,-0.027709051176140864,-0.023350032571623252,0.0043590186045176105,0.0031071639271915445,0.0012518546773260656,-0.008648223164347955,-0.018718185616548977,-0.06524169613352718,-0.034105762326127165,0.9659738160027557,1.0340261839972442,1.0486045108325475,0.9795926993753172,0.14885496183206107,11,16,109,126,120,142,0.002499738214380113,0.10704821193193147,-0.028855794432360478,0.013447453488448193,True
2017-02-01,2017-03-01,391,348,35,1,0.025763232805998633,0.031323407857065666,0.00556017505106703,0.004332885555798553,0.0012272894952684767,0.056567615596675,-0.029331497489359065,-0.041210147757768836,-0.0076439444324614934,0.982853311886444,1.017146688113556,1.042815617115163,1.007656805990719,0.14285714285714285,20,15,108,123,128,138,0.03806840003988744,0.13463394605175433,-0.05442683958016452,0.019653843021317664,True
