rebalance_date,hold_end,n_universe,n_with_signal,n_delisted,long_ret,short_ret,ls_ret,ls_gross,ls_cost,ls_ba_cost,ls_borrow_cost,long_scale,short_scale,mean_beta_long,mean_beta_short,long_turnover,short_turnover,avg_turnover,mkt_ret,ic,n_long,n_short
2015-11-01,2015-12-01,401,401,1,0.003579695541225323,-0.04004161112583768,-0.020075992136091105,-0.003028535988668205,0.0170474561474229,0.016197906127554677,0.0008495500198682242,1.3756403624858333,0.6243596375141666,0.6221571603567202,1.3707876841684148,0.6125,0.6625,0.6375,0.026288780810050344,-0.031951108928099145,80,80
2015-12-01,2016-01-01,400,398,1,-0.061431011158713245,0.03257465837847424,-0.059739585899944214,-0.0440438050834427,0.01569578081650152,0.014822655372523705,0.0008731254439778124,1.3285252184442788,0.6714747815557213,0.6534578323586511,1.2928783527313468,0.55,0.6625,0.60625,-0.055785436772974636,0.03948256642439678,80,80
2016-01-01,2016-02-01,412,410,1,-0.040921858579441354,0.17157053328468547,0.061715634551905686,0.07753968254116418,0.015824047989258495,0.014906905351136944,0.0009171426381215511,1.3244023917685297,0.6755976082314702,0.6932331316515182,1.358974049680023,0.5,0.6585365853658537,0.5792682926829269,-0.09944611480590097,0.3967836897507697,82,82
2016-02-01,2016-03-01,427,425,1,0.04057332023631078,-0.10329454538417647,-0.010498076491858806,0.005476016424143672,0.01597409291600249,0.01510356354841421,0.0008705293675882807,1.3629938376493862,0.6370061623506136,0.6506137377494055,1.3921097905397983,0.5882352941176471,0.5529411764705883,0.5705882352941176,0.04679720838839071,-0.04481921495677729,85,85
2016-03-01,2016-04-01,412,410,1,0.06339824931573601,-0.07944783720931949,0.03514042907689617,0.052751817351499794,0.01761138827460362,0.016740051402260318,0.000871336872343301,1.3583578536574106,0.6416421463425894,0.6150672778155419,1.3020987977656013,0.6097560975609756,0.6097560975609756,0.6097560975609756,0.0760111994505304,-0.05599635754714229,82,82
2016-04-01,2016-05-01,402,400,1,-0.017582540992874214,-0.06652973703652097,-0.06413964111574724,-0.048608245534341656,0.015531395581405576,0.014703619212940503,0.0008277763684650725,1.4080445567471962,0.5919554432528039,0.6317017276196235,1.5025863672694553,0.5875,0.5625,0.575,0.025974445227640162,-0.19724845728694723,80,80
2016-05-01,2016-06-01,398,396,1,0.004666136091558719,-0.011180970377766077,-0.0007475477204831656,0.015067771807774034,0.015815319528257203,0.014973843972538883,0.0008414755557183181,1.3639330988838823,0.6360669011161176,0.6497293300463681,1.3932297640560818,0.6,0.525,0.5625,0.00998169405406357,0.04979038222031559,80,80
2016-06-01,2016-07-01,395,393,1,0.008543158819221578,-0.004692383714784926,0.007944592157891686,0.02652059176666369,0.018575999608772004,0.01763987435890969,0.0009361252498623132,1.309304816401493,0.6906951835985069,0.6758255811269096,1.28111750223404,0.6708860759493671,0.6708860759493671,0.6708860759493671,0.013258145616808622,0.06729644622602791,79,79
2016-07-01,2016-08-01,414,412,1,0.0550436375437631,-0.029243259327691895,0.04393382329509338,0.062222058936126895,0.01828823564103351,0.017240971034993932,0.001047264606039578,1.2151395501803475,0.7848604498196524,0.7697584119475868,1.1917582172174173,0.6506024096385542,0.6506024096385542,0.6506024096385542,0.048299711498420675,0.10124603562587393,83,83
2016-08-01,2016-09-01,403,401,1,2.9231998665040643e-05,-0.06868708688734025,-0.049685762277943475,-0.03290711810797771,0.016778644169965752,0.015856608444597194,0.0009220357253685601,1.276092970611608,0.723907029388392,0.7027000525379379,1.2387096147549153,0.6049382716049383,0.5802469135802469,0.5925925925925926,0.03078177234094376,-0.0846532921427774,81,81
