date,ls_gross,ls_net,ls_ba,ls_bw,n_long,n_short,skipped,guard_fired,mkt_ret,long_scale,short_scale,beta_long,beta_short,sort_label
2016-09-12,0.004043742901296344,0.0031823547020164403,0.0008004773131121666,6.091088616773746e-05,73,73,False,False,0.012181651182765695,0.9117393762002524,1.0882606237997476,1.5341231024958815,1.2852807589419604,quintile
2016-09-13,0.003427801323041983,0.0033668904368742455,0.0,6.091088616773746e-05,73,73,False,False,-0.016122530624780525,0.9117393762002524,1.0882606237997476,1.5341231024958815,1.2852807589419604,quintile
2016-09-14,0.009282651912238891,0.009221741026071154,0.0,6.091088616773746e-05,73,73,False,False,-0.00044569286592701263,0.9117393762002524,1.0882606237997476,1.5341231024958815,1.2852807589419604,quintile
2016-09-15,-0.0040853405804671845,-0.004146251466634922,0.0,6.091088616773746e-05,73,73,False,False,0.010478075349796953,0.9117393762002524,1.0882606237997476,1.5341231024958815,1.2852807589419604,quintile
2016-09-16,0.004478888154764226,0.004417977268596489,0.0,6.091088616773746e-05,73,73,False,False,0.0003677331177126953,0.9117393762002524,1.0882606237997476,1.5341231024958815,1.2852807589419604,quintile
2016-09-19,-0.0017757775999840244,-0.002036266995125293,0.00019957850897353105,6.091088616773746e-05,73,73,False,False,0.0036878404075838494,0.9117393762002524,1.0882606237997476,1.5341231024958815,1.2852807589419604,quintile
2016-09-20,-0.0011652541908694627,-0.001226543416230902,0.0,6.128922536143936e-05,73,73,False,False,-0.001617661715447354,0.9049798021265464,1.0950201978734537,1.5551821020451522,1.2852807589419604,quintile
2016-09-21,-0.002950323794311637,-0.003011164854814589,0.0,6.084106050295238e-05,72,72,False,False,0.011753423085358863,0.909406723694428,1.090593276305572,1.5439983481851438,1.2874849952946539,quintile
2016-09-22,-0.00603385094100062,-0.006094692001503572,0.0,6.084106050295238e-05,72,72,False,False,0.010243705260437315,0.909406723694428,1.090593276305572,1.5439983481851438,1.2874849952946539,quintile
2016-09-23,-0.0018573117078123612,-0.0019181527683153135,0.0,6.084106050295238e-05,72,72,False,False,-0.002927255959886546,0.909406723694428,1.090593276305572,1.5439983481851438,1.2874849952946539,quintile
2016-09-26,0.001842115731694469,0.0014911765429214097,0.0002900981282701069,6.084106050295238e-05,72,72,False,False,-0.008681910097487571,0.909406723694428,1.090593276305572,1.5439983481851438,1.2874849952946539,quintile
2016-09-27,0.0011322521110793352,0.0007527457937119076,0.00031850221235212674,6.100410501530086e-05,71,71,False,False,0.003743261201779863,0.9123896166579681,1.0876103833420319,1.5394482394422742,1.2914335965913715,quintile
2016-09-28,0.003720065519543927,0.003658732655340241,0.0,6.133286420368598e-05,70,70,False,False,0.006613520587071381,0.9127410485861888,1.0872589514138113,1.5454204554263706,1.297362220065593,quintile
2016-09-29,0.0037490574607425622,0.0036877245965388763,0.0,6.133286420368598e-05,70,70,False,False,-0.008682690389119807,0.9127410485861888,1.0872589514138113,1.5454204554263706,1.297362220065593,quintile
2016-09-30,-0.001140669339865839,-0.002096596071376651,0.0008945938673071262,6.133286420368598e-05,70,70,False,False,0.011361375150105091,0.9127410485861888,1.0872589514138113,1.5454204554263706,1.297362220065593,quintile
2016-10-03,-0.00044853224701754896,-0.0029537469796252396,0.00244491915337239,6.0295579235300686e-05,67,67,False,False,-0.0022375237806876256,0.9160125820986545,1.0839874179013456,1.5561268388419534,1.3149892149858553,quintile
2016-10-04,-0.0023435350414676955,-0.004755312497404205,0.0023510219318213297,6.0755524115180255e-05,63,63,False,False,-0.006111772074610588,0.9049135992526945,1.0950864007473056,1.561980762634857,1.29072704483848,quintile
2016-10-05,0.0030817758606045166,0.0027893371511482756,0.00023139142285030586,6.104728660593488e-05,57,57,False,False,0.008395289576641747,0.8966496843609689,1.1033503156390312,1.5191543279939403,1.2345573562485872,quintile
2016-10-06,-0.004546271155328472,-0.006236361369943847,0.0016279563181008472,6.2133896514528e-05,54,54,False,False,-0.002282604244392755,0.8908936803386074,1.1091063196613928,1.5394780868702596,1.2365913657684349,quintile
2016-10-07,-0.0011255269642949026,-0.0042664210413813535,0.0030787354286294405,6.215864845701104e-05,52,52,False,False,-0.005728107408470354,0.8955025190456889,1.104497480954311,1.5458287125123389,1.2533242763685546,quintile
2016-10-10,-0.0035388544719892126,-0.006933019232587649,0.003331805630864835,6.235912973360213e-05,47,47,False,False,0.00511372661558316,0.870716219691738,1.129283780308262,1.5813935517507387,1.2193082369866568,quintile
2016-10-11,0.00391901630393959,-0.005053543939201984,0.00891000674764713,6.255349549444443e-05,41,41,False,False,-0.016060848179143293,0.8659355529807042,1.134064447019296,1.6106192530580836,1.2298176503142682,quintile
2016-10-12,-0.0028831444852781317,-0.004431186009779048,0.001488011127312213,6.003039718870356e-05,29,29,False,False,-0.001750068172517046,0.9126982855042491,1.0873017144957509,1.5132532156175678,1.2702487239877736,quintile
2016-10-13,-0.008707359190167288,-0.012697678463199188,0.003930045428213686,6.027384481821536e-05,27,27,False,False,-0.007226834097212217,0.9165615852274084,1.0834384147725915,1.5285534831793905,1.2931177116715442,quintile
2016-10-14,0.0033170549269406387,-0.008166855849941158,0.011422282976874962,6.162780000683423e-05,22,22,False,False,-0.003298089552936061,0.9452574122594061,1.0547425877405938,1.500187396463807,1.344463827257837,quintile
2016-10-17,-0.0031919614011730038,-0.008258637783822107,0.005007427557821134,5.924882482796868e-05,25,25,False,True,-0.0041503187354572256,0.9441987212059502,1.05580127879405,1.3685813778159135,1.2239166713986604,tercile
2016-10-18,-0.004182290527788273,-0.005593114238425023,0.001352573165395101,5.8250545241649e-05,23,23,False,True,0.005354304100306326,0.9290282789235811,1.0709717210764187,1.3737352827871625,1.1916644486015249,tercile
2016-10-19,0.0045548036451871585,0.003021077675935781,0.0014740544926672098,5.967147658416801e-05,22,22,False,True,0.0037103867909869075,0.9246764327612611,1.075323567238739,1.367416294427069,1.1758485164398182,tercile
